delta_I,theta'_J,score,cross-score,lambda_I,lambda_J<,lambda_J>=
0.7000000000000001,0.2,0.4310939648345413,nan,0.007042654466016374,0.0007232929134750599,0.0035089343248800864
0.7000000000000001,0.30000000000000004,0.435873251438049,nan,0.00704071523137062,0.0007253779805779237,0.003716500430990144
0.7000000000000001,0.4,0.43432813875830956,nan,0.00703428336744627,0.0007376483628387387,0.004042275709791987
0.7000000000000001,0.5,0.4342793864764948,nan,0.007034324519347712,0.0007375993052939345,0.004046406555472504
0.7000000000000001,0.6000000000000001,0.6700069106831938,nan,0.007036433175279022,0.0007755080968810946,0.0
0.7000000000000001,0.7000000000000001,0.6825176454062696,nan,0.007036692038638548,0.0007751696968798516,0.0
0.7000000000000001,0.8,0.682708145810874,nan,0.007036747784873065,0.0007751114008143212,0.0
0.7000000000000001,0.9,0.6827171574449089,nan,0.007036749274954235,0.0007751098828995273,0.0
0.8,0.1,0.3962142231072978,nan,0.007074289661955224,0.0007287345463397044,0.00369403685635894
0.8,0.2,0.3973206567512726,nan,0.007075373196612,0.0007317298816376105,0.003636807622752092
0.8,0.30000000000000004,0.4121432092627684,nan,0.007073840295779843,0.0007347457572102201,0.003740007996962502
0.8,0.4,0.4715014922226014,nan,0.007069687006153735,0.000743605299393657,0.00406550010603135
0.8,0.5,0.4714587446349451,nan,0.007069717952022159,0.000743569737843397,0.004068727002616401
0.8,0.6000000000000001,0.6644447246159604,nan,0.007070321549306424,0.0007784660307569302,0.0
0.8,0.7000000000000001,0.6835517977900529,nan,0.007070560279575866,0.0007781363741041769,0.0
0.8,0.8,0.6837296626122735,nan,0.007070615752010734,0.0007780786334660172,0.0
0.8,0.9,0.683747697969497,nan,0.0070706187432620915,0.0007780755898804115,0.0
0.9,0.1,0.4268290238726512,nan,0.007094975247309732,0.0007461306417789748,0.0034192164737761876
0.9,0.2,0.41666348142621856,nan,0.007095526235345484,0.0007488725988796796,0.0033511525308497214
0.9,0.30000000000000004,0.4038876219374816,nan,0.007093597516463768,0.000751219319192753,0.003512036347503078
0.9,0.4,0.47966128481132897,nan,0.00709105611924532,0.0007559991973743463,0.003977080473722139
0.9,0.5,0.47964160489667973,nan,0.007091087281580477,0.0007559621856000343,0.003980932608659948
0.9,0.6000000000000001,0.6758706864244779,nan,0.007090718236640092,0.0007863691115737037,0.0
0.9,0.7000000000000001,0.6881996873982168,nan,0.0070909910043485125,0.0007860398402358415,0.0
0.9,0.8,0.6883704914793853,nan,0.007091044064582608,0.000785984574355747,0.0
0.9,0.9,0.6883884851203492,nan,0.0070910470686822435,0.0007859815169810602,0.0
1.0,0.1,0.4366902574938206,nan,0.007119240901528934,0.0007510686680101131,0.00335143977565322
1.0,0.2,0.42671033030317196,nan,0.0071196678178868655,0.0007539330098035313,0.0032515449530939877
1.0,0.30000000000000004,0.4230907608753419,nan,0.00711848245627833,0.000755437808808157,0.0034025857388632064
1.0,0.4,0.4977868333654081,nan,0.007116577414055025,0.0007608496022539768,0.0036599891079864832
1.0,0.5,0.4977447963802617,nan,0.007116605684912569,0.0007608139494209576,0.0036641217340717125
1.0,0.6000000000000001,0.6741622394522806,nan,0.00711544450531898,0.0007862059740106897,0.0
1.0,0.7000000000000001,0.6869655468291294,nan,0.00711571311772663,0.0007858811318028902,0.0
1.0,0.8,0.6871221143933812,nan,0.0071157642583951075,0.0007858280663610717,0.0
1.0,0.9,0.687140064894726,nan,0.0071157672657713444,0.0007858250083707663,0.0
