mu,score,cross-score,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
0.15,0.7932876863472733,nan,0.006705213752704942,0.005212557545734242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.7942306753109636,nan,0.006748961068957171,0.005618797327343827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.8301770092711379,nan,0.006818472308546486,0.005843086822695187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.8527211281749115,nan,0.006878311838291684,0.005903857686957115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.8486311522394608,nan,0.0069493564820996,0.005821289469342461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.7117798129527424,nan,0.007015917153833429,0.0058150877408351676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.8448140432614412,nan,0.007040947789679786,0.006019459715956299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.8594797712454644,nan,0.007069608420620099,0.0061450633814658095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.8749351214562042,nan,0.0071058551076983445,0.0061040474087386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.8529229243615242,nan,0.007175608769542374,0.006075485800291491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8371505581105341,nan,0.007186346335929739,0.0064594716007138064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.7984439595894708,nan,0.007220806823466375,0.006303773240125321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.8739494350228258,nan,0.00724769029040595,0.0061875800371568035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.8483922149058848,nan,0.007292155113197807,0.006406414248741665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.8674149869148947,nan,0.007318569748240855,0.006252132279163214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.7958997080139795,nan,0.007312029811288312,0.00691866293597887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31,0.8712845813014394,nan,0.007340530424876701,0.007012854612554742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.8771633650739253,nan,0.007361943400544968,0.0070836956593302025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.8142681444249633,nan,0.007408975595904699,0.006803576287095159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.8411050267815459,nan,0.007428874176683253,0.006880996400318362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.8889468557515579,nan,0.00744248991651153,0.0069780115454166625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.84331105255878,nan,0.007473056444663562,0.006778882122271623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.8129871971467916,nan,0.007495873498251315,0.007093369202207045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.7390597732586591,nan,0.00752420077638194,0.007036091910529896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.8650659562632024,nan,0.007513881449380477,0.006903546494774204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.7325815611211419,nan,0.00754682626537706,0.007180027276308953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41,0.9104563139548872,nan,0.007573492436045881,0.00653399001283983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.8711525846649207,nan,0.007586311517816524,0.00679289642832237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0.7867270629255702,nan,0.007577542819043881,0.007453631740911848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.8911775973334731,nan,0.007612928526964602,0.007399674433506198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.852799718632125,nan,0.007615442974970632,0.007484933634302693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.9019270103710775,nan,0.007625002771603051,0.007537911578256784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47,0.834537603031085,nan,0.007623006618460382,0.0077316435962374586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.8857079659602592,nan,0.007659425309646584,0.007006926183153794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,0.917841052360007,nan,0.007660133723957019,0.007186229090911489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9078279217160681,nan,0.007682429054402751,0.007382261819461777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.9128003590053008,nan,0.0076725941017582455,0.00760183163356043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.9083439454971134,nan,0.007698294850844056,0.007288807217110449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.53,0.8936748781175292,nan,0.007718520559948483,0.007075978044861042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.9181802141169401,nan,0.007711270020844818,0.007854942460450376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.7546937922038337,nan,0.007731933498815513,0.0075645644112454224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.850178135198909,nan,0.007708886329358622,0.008249482780304795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.57,0.9010454932241135,nan,0.007729277978812732,0.007826525902619563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.9046703306751323,nan,0.0077451066154433645,0.007955812691081254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.9263763185624849,nan,0.007757605014184765,0.007794177524505397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.9279950184122239,nan,0.007752097243717726,0.007758176755304547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.7581846609400198,nan,0.007786688423334964,0.007516347867285722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.7413560764842734,nan,0.007778081701879991,0.007611465865394518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.8785500828909498,nan,0.007788040828578646,0.00785459902955954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.8161893800531156,nan,0.007797976377247995,0.007372107176056186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.9071514473603108,nan,0.007797779295603435,0.007846724851607534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.7822398797515191,nan,0.007797422470099846,0.008294505583901657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
