mu,score,cross-score,beta_0,beta_1,beta_2
0.0,0.09467486316448548,nan,0.005423391435567693,-0.00028879766763756365,1.2637711996998924e-05
0.1,0.8326758569230807,nan,0.006253630132407206,0.005480634404621654,-0.0015482461555613725
0.2,0.7435422314070124,nan,0.006994701551996996,0.006902054307759586,-0.002132922274348026
0.30000000000000004,0.7950549198030519,nan,0.007329028045251262,0.0074591733867673815,-0.002419252331435029
0.4,0.8990223110189001,nan,0.007524759630446409,0.007979176660637965,-0.0023530186777889206
0.5,0.8877981083255155,nan,0.007666966278513598,0.008230547824248813,-0.002266310557874185
0.6000000000000001,0.9577578503434637,nan,0.007747405521422834,0.008672799276863263,-0.0027569189507894443
0.7000000000000001,0.9227252586568198,nan,0.007838118344990708,0.007865820293278869,-0.0020603886517520653
0.8,0.9642980630220644,nan,0.007894674994225359,0.008239225015901241,-0.0025466936721121325
0.9,0.9624697515464165,nan,0.007931944508195343,0.008707207267818706,-0.002749623533224055
1.0,0.9661292086586066,nan,0.007976315245355248,0.008257702734604355,-0.002499915489238669
