mu,score,cross-score,beta_0,beta_1,beta_2
0.89,0.9588706857732252,nan,0.007928035040147274,0.008425768582455473,-0.0022734019708499087
0.9,0.9692765744840829,nan,0.00793375480289038,0.008970049562574633,-0.0027039009255795943
0.91,0.9713800791892365,nan,0.007944809297376176,0.008513581966369421,-0.002549878855757637
0.92,0.948321057334152,nan,0.007945222280159259,0.00867530868678379,-0.0028060354916743524
0.93,0.9756272867299921,nan,0.007950322812322885,0.008453438641727318,-0.0024806532409318294
0.94,0.9718120782845008,nan,0.007951496180319984,0.008743941936534494,-0.0026210386679739184
0.95,0.9657179226877662,nan,0.00796822555998744,0.008205968938832742,-0.002546971611281368
0.96,0.9747965913971335,nan,0.007965537220734897,0.008368079308096688,-0.00252801242686318
0.97,0.9633735103633319,nan,0.007968772322795137,0.008473978685033634,-0.0025894402720954
0.98,0.9676188428985965,nan,0.007976167896554087,0.008285117434289613,-0.002500054557614151
0.99,0.9634045147147866,nan,0.007980656137423714,0.008141672261222532,-0.002564512185917023
1.0,0.9661135441999446,nan,0.007983655607621931,0.008251876740728248,-0.0024985202303735576
