mu,score,cross-score,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
0.51,0.9609799990070155,nan,0.00765163698060467,0.009018493741053235,-0.010172987080123042,0.022997051813124503,-0.002145908319415968,-0.18969888359418974,0.5028332144519077,-0.789112941126149,-0.3375772654789577,-0.10180894244062721
0.52,0.9617308657068143,nan,0.007678536373514233,0.008620488518648162,-0.00848034169060452,0.019952394188489153,-0.012847797497284486,-0.08293210514881744,0.2835551114528887,-0.31665543621287684,-0.14745607158308083,-0.04691644739772394
0.53,0.9474954774008284,nan,0.007690338286568954,0.008725374484450321,-0.009440812999163217,0.014427720428963564,-0.006957525084442695,-0.010912341745248133,-0.041736975559288014,0.07919150492638316,0.030464994745970864,0.006851685750330794
0.54,0.9848722070970038,nan,0.007725706166907931,0.00783088129083831,-0.002843000577795518,-0.008408127908466456,0.045711189898552274,-0.12167393467365928,0.1325672319006781,-0.06525023255497797,-0.03210960297585541,-0.010590643311261028
0.55,0.8771178825195756,nan,0.007702579762580042,0.009077499665485322,-0.006066052600292027,0.0028954545987470715,0.005034203486350419,-0.048206917140727557,0.16226964189871762,-0.5051102180767559,0.3283012699722909,0.1242270861922643
0.56,0.8170013736131603,nan,0.0077148722888138455,0.00871523014611253,-0.002931979175931465,-0.009944979794387798,0.013735109501438969,-0.004071529321025835,-0.0015091388495989122,-0.0007123599491039023,-0.0003561165650480813,-0.00011869143346898703
0.57,0.9779315543838336,nan,0.007709734493803633,0.009325314502939053,-0.008902016880613095,0.004738212212901716,-0.011099148941536185,0.04087764427377982,-0.11723148236755954,0.18105136966201196,-0.1724159247154018,-0.08523066271154289
0.58,0.9790544469308046,nan,0.0077472238043986286,0.007920153444632483,-0.002492923818732784,-0.004244498078511905,0.017056795759412102,-0.038867580258436396,0.0366115674784101,-0.009510199914231743,-0.003555780333305947,-0.0007890830495711487
0.59,0.9833665621455105,nan,0.007758984479891318,0.00817761288429053,-0.0027813811960506474,-0.00607998764009654,0.04571917018339178,-0.14715205721526448,0.20353567490964486,-0.14230649227214487,-0.06878739339128859,-0.022422600300170403
0.6,0.9830409784937864,nan,0.007769748373473662,0.00841469348879964,-0.012194792818353228,0.028661365205236433,-0.06550512369562878,0.09299059132979903,-0.052687923583585095,-0.025929289843213077,-0.009645783348804837,-0.00213551247335686
0.61,0.9919502347195666,nan,0.0077715726657821005,0.008744056684362733,-0.009322382754973102,0.011441143715493762,0.011653109039602039,-0.062181515179184244,0.03408062301629722,0.0314443318473252,0.01190950830626214,0.002658902095880822
0.62,0.924900853788316,nan,0.007761129415165491,0.008780108830028222,-0.0022245932283158076,-0.01134115465230634,0.06449464096294222,-0.284325077936888,0.5031900342465128,-1.0151196893700072,-0.300507369178058,-0.06012824084496948
0.63,0.9855686381890328,nan,0.007783743636760709,0.009131637679370419,-0.007878830313973406,-0.006237778641633884,0.050399300529331614,-0.15421003842180547,0.23204424834144388,-0.18461262486372654,-0.0883991110175193,-0.028638383978240478
0.64,0.9834655218480689,nan,0.007782549137666739,0.00899884132173323,-0.008197223196136028,-0.0007405513280607234,0.09061255513660538,-0.5509850259634785,0.7230152840597672,-1.715441805733982,-0.6478597651905897,-0.18115461179183368
0.65,0.8653241523467342,nan,0.007808074175460811,0.008192166098888731,-0.006019319797764711,0.0007188193749383398,0.03266556714411872,-0.17609691155411755,0.38950549685252067,-0.6581322920187245,-0.20880762681750142,-0.043041523649677504
0.66,0.9799372875109424,nan,0.007799030511488558,0.008997957812180601,-0.008852866538354709,0.0014774311144244434,0.052831546426825304,-0.2853881853950595,0.5194222426712232,-1.095736014585587,-0.31977900777849544,-0.0635993127946417
0.67,0.9870695388106441,nan,0.007806824365949594,0.008527684220000498,-0.008240382056503348,0.00924835930965906,-0.013003092178667242,0.0030851437095811285,0.05190268599733705,-0.07607944518606424,-0.027878130400493584,-0.006129064053022937
0.68,0.988288312447105,nan,0.007810397518612122,0.009267952559728232,-0.005222225297466521,-0.012303353572175268,0.05692523978027131,-0.1889568242425912,0.34183469731338556,-0.3625317619760573,-0.16727535824931095,-0.05290964944141674
0.69,0.9812273752069746,nan,0.007813794783043115,0.008856430196265919,-0.005596606082553857,0.006853896496568979,0.0109151775242049,-0.12768257240592984,0.3568040710108593,-0.6075123867607852,-0.19483482732023227,-0.040350133747747874
0.7,0.9197502780433189,nan,0.007831956685037667,0.008141748380902647,-0.006185771469359169,0.01298202471829546,-0.039496488101777194,0.07312910881560741,-0.10556029014777146,0.06116368427976293,0.023389913994319778,0.005245704040544363
0.71,0.9893965289076068,nan,0.007841754461495154,0.009127176742703136,-0.010947494232507848,0.00994688762103868,0.013490272710335649,-0.11931332413753348,0.31137614758733023,-0.4758393533780241,-0.1571499941696861,-0.03296734045056726
0.72,0.963046874393753,nan,0.007835184770741077,0.008894908538671475,-0.00899545874469787,0.016443694825917454,-0.057803921666129465,0.1411696281614635,-0.38948309224130306,0.2566486155632086,0.10525803300682068,0.024412606931560554
0.73,0.989983538445396,nan,0.007844675164861648,0.009088960630797338,-0.009148538829698571,0.00598409173403569,-0.0138594452584484,0.045284584579090015,-0.12488808267112583,0.08379941254420131,0.042816325120513365,0.01448078946228959
0.74,0.9734995295125781,nan,0.007843518685019202,0.009311339160121057,-0.011994637636839167,0.015267673878035959,0.03806810067346911,-0.1472249249867823,0.04785463374177956,0.05979095467818163,0.030356227616648246,0.010222893976906788
0.75,0.9752512246652704,nan,0.007867042128743451,0.008848211004180317,-0.008659561549017925,0.009747453635331249,-0.006023508160161617,-0.034624731387874474,0.1533936245265204,-0.2079312281819965,-0.07341047330245853,-0.01586699548547532
0.76,0.9661369238143469,nan,0.007867147619909587,0.00856936621478599,-0.008551591623837895,0.017618200482079627,-0.06431672891504991,0.15476049005181258,-0.4349479927223836,0.27725143982551415,0.1146393552921573,0.026695040670246417
0.77,0.9928886980234322,nan,0.007879863574066337,0.009200182617439934,-0.01184771560859832,0.020188481244550194,-0.05737969891544448,0.12948883901903363,-0.3360770346963131,0.22779251791453936,0.09238795255722632,0.021311465671194685
0.78,0.9734678798009485,nan,0.007878403058402483,0.008993611869680507,-0.004064973165868624,-0.011346588122793877,0.2241244901368027,-2.217172154168829,0.9675793004657626,-31.048802388063443,-2.6701129232850294,-0.3350093799048113
0.79,0.9916698688047689,nan,0.007882553676644366,0.00888302894263615,-0.009407200517657976,0.005447210289536097,0.07446851147324851,-0.49249873502359676,0.7022972489361587,-2.4395640011010866,-0.5892373861300919,-0.10843087966038367
0.8,0.9902785706514264,nan,0.00788633589197496,0.009215035244721559,-0.009068796889105224,0.005282293640838098,-0.012930846934085416,0.04624617652929186,-0.13354507003946714,0.11458952923551768,0.04461318132047287,0.010090737796487836
0.81,0.9880502731852924,nan,0.00789909640449149,0.009366612361755622,-0.008899222009698393,-0.0015232294612066433,0.013580882901760405,-0.018972251554079778,0.0065804713588552,0.006929194925160753,0.0026040959223140314,0.000579274928350082
0.82,0.9737061846706564,nan,0.007908773172587868,0.00858646311345379,-0.008082181664621046,0.003867165419222718,-0.009681409059594026,0.038121031395595306,-0.11082888518345624,0.09735158444635583,0.03768006163838833,0.008498858176461788
0.83,0.9719492324192509,nan,0.007897200531063242,0.009043459125513853,-0.008315467774625107,-0.0001952966482192675,0.0061814880499211355,0.00040863135007951357,-0.03022445879893354,0.036674179933583795,0.01391364263472017,0.003108789825557512
0.84,0.994700101063887,nan,0.007914380842406366,0.008970087558748396,-0.01043534792220524,0.016500730251884477,-0.049437169358171884,0.11812080921693335,-0.30924302737298626,0.1729187317119475,0.09055991495422944,0.031146682165033468
0.85,0.9899813119308255,nan,0.007913923362454112,0.009081159430740837,-0.008663683063049099,0.005055352194635043,0.00367848071492205,-0.03707369460048304,0.12057746037684958,-0.1471307594588791,-0.0528217466051899,-0.011504324290892542
0.86,0.969343631596119,nan,0.007921008457577816,0.008616575478765154,-0.011488421649159752,0.0192768735349369,-0.05326092397436666,0.11998050027342366,-0.3051739685323007,0.2113877285178135,0.08520491189287527,0.019595503926200908
0.87,0.994416673340072,nan,0.007919971888959543,0.009382369499920662,-0.012484958665580637,0.03198351134330335,-0.10653863152487353,0.22128816629620085,-0.6663791324008803,0.362625211096538,0.1554058277782321,0.0368374820118863
0.88,0.9887507271458216,nan,0.007942863711785875,0.008527111986095903,-0.010258156298975196,0.02226179531368566,-0.07363190568130373,0.1658722943301606,-0.4608803640617931,0.2864517441293635,0.11888264417863337,0.027733596414666994
0.89,0.9911433129270647,nan,0.00793914803996143,0.008526657485738776,-0.008236099747083392,0.003129656130348879,-0.005563163734138232,0.027251645520949386,-0.08498790864002737,0.0783200732129925,0.030121016947446067,0.006773395334017884
0.9,0.9903480817190261,nan,0.00794544675720621,0.008350657684687679,-0.006862453819556968,0.010003702468792453,-0.04154196715132219,0.11436908227305576,-0.31650905756252756,0.2227231194676691,0.09015815605036914,0.020777660912878027
0.91,0.9641627355138824,nan,0.007943956113358519,0.00889547018117165,-0.00981712237124821,0.008494632163629667,-0.019410934739708452,0.054324694640340176,-0.14159766247447614,0.11671193026718629,0.04547262799014462,0.01028869647615338
0.92,0.9959707371808699,nan,0.007949852465681029,0.00866799234065363,-0.008494370718947986,0.002288619254332991,-0.0012194647642909118,0.016124232811803196,-0.060156683823648915,0.05943261597294447,0.02271503372066508,0.0050929853615747644
0.93,0.995234886148948,nan,0.007953252077821937,0.008541935535171796,-0.009356764661547334,0.014447438672586133,-0.04564222338125434,0.11297539841894577,-0.2977612619328087,0.21008466452716867,0.08463836847919293,0.01946060838954089
0.94,0.9961725682662346,nan,0.007958378163529178,0.009208149901838492,-0.012495085451506238,0.021423607631471664,-0.0587755972220283,0.1297144351792756,-0.3327769701748311,0.22537556456497843,0.09132370782418431,0.02105656246538634
0.95,0.9943290296860569,nan,0.007964305362835433,0.008898937400475648,-0.01043973944752552,0.01634135660017777,-0.04848150773709348,0.11584010789503008,-0.30203914206219795,0.2115700611900857,0.08528423275751162,0.019614395626227243
0.96,0.9920364371283353,nan,0.00796625737228307,0.008850128259023204,-0.008043074335867706,0.006070571475462416,-0.02004539630002622,0.06387679106567257,-0.17503190906842514,0.1410559603841124,0.0554241747315386,0.012591020148334242
0.97,0.9935819939107995,nan,0.007969116584889302,0.008513017119432642,-0.010287034404669049,0.017045342736932034,-0.05080982459456007,0.1196883310284238,-0.3113864724053468,0.21602320740409942,0.08722507171327232,0.020077039062565305
0.98,0.991126947745256,nan,0.007970594721663615,0.008803523852506268,-0.010067125443503633,0.015528713174874698,-0.04694248196861772,0.11380419337575087,-0.297722544260715,0.2096050685561296,0.08442999781702931,0.019411011098512954
0.99,0.9951542413677341,nan,0.007977066300323465,0.008658075787153718,-0.008558225628891414,0.01152038782865139,-0.03874196165848609,0.10229091050282502,-0.27303285772692876,0.19798049988706368,0.07940343962857599,0.01821721970118828
1.0,0.995257688487799,nan,0.007980480437629889,0.008749895813172204,-0.010172130992826434,0.015987690497980545,-0.048026770223334125,0.11540897188813426,-0.30136197864143477,0.2113135914683315,0.0851726630526276,0.019587823645317748
