mu,score,cross-score,beta_0,beta_1,beta_2,beta_3
0.37,0.9153224744185854,nan,0.00747085786502566,0.0074595636974547075,0.0,0.0
0.38,0.8708394712258849,nan,0.007485983903347537,0.00743600685264989,0.0,0.0
0.39,0.7740471821477675,nan,0.007508953228727688,0.007405788864209284,0.0,0.0
0.4,0.8794245229484131,nan,0.0075386976795678295,0.00680726382241581,0.0,0.0
0.41,0.8504476180033209,nan,0.007557443470635028,0.007238994719468872,0.0,0.0
0.42,0.9220177922548085,nan,0.007565571363977175,0.006702086270053087,0.0,0.0
0.43,0.8411170839477149,nan,0.007584820583935947,0.007407706912779144,0.0,0.0
0.44,0.8433988524360333,nan,0.0075791500413302515,0.007729745194517634,0.0,0.0
0.45,0.8953480688404064,nan,0.007611144597060249,0.00709959766203172,0.0,0.0
0.46,0.9199592395485189,nan,0.007630904827275908,0.007099385804593683,0.0,0.0
0.47,0.8263674753448704,nan,0.0076543699941413745,0.007204479351381021,0.0,0.0
0.48,0.8490568993222904,nan,0.007647646652624851,0.007434444429351927,0.0,0.0
0.49,0.9094583896362405,nan,0.00764711810164298,0.007803313438806692,0.0,0.0
0.5,0.9274964404378944,nan,0.00767850150579219,0.007126484826193824,0.0,0.0
0.51,0.8229759663123206,nan,0.007682773340002891,0.00706300216315503,0.0,0.0
0.52,0.7526829627746155,nan,0.007697121268289919,0.007343893702447368,0.0,0.0
0.53,0.8856207119639499,nan,0.007710119629645296,0.007434651845758755,0.0,0.0
0.54,0.8737006791108345,nan,0.0077180052661466325,0.007442512263769574,0.0,0.0
0.55,0.8576760229837478,nan,0.007719018756372931,0.007591447147461516,0.0,0.0
0.56,0.9017151495714257,nan,0.007721761377608383,0.007673369517019579,0.0,0.0
0.57,0.8919345538075067,nan,0.007757578268637322,0.007509524033437076,0.0,0.0
0.58,0.8635812480157596,nan,0.00772631805046764,0.008326197122017875,0.0,0.0
0.59,0.9030439052451011,nan,0.0077711600822684135,0.0073690935508802236,0.0,0.0
0.6,0.8658426035320564,nan,0.007777665330195971,0.007345180814265939,0.0,0.0
0.61,0.8778388929834594,nan,0.007780151931169432,0.007731467331396846,0.0,0.0
0.62,0.8900886548720192,nan,0.007796636247391131,0.0074398074782794366,0.0,0.0
0.63,0.9027063669984807,nan,0.007776232837731101,0.00821774729227509,0.0,0.0
0.64,0.9294364800327615,nan,0.007796651124687526,0.007846680634318814,0.0,0.0
0.65,0.8923226651652216,nan,0.007806389140102787,0.007669384272215751,0.0,0.0
0.66,0.8814469605230582,nan,0.007808353456601247,0.007625882776247206,0.0,0.0
0.67,0.8640858815448195,nan,0.007823627494994434,0.0077099735798079605,0.0,0.0
0.68,0.8838240402313513,nan,0.007819709946474185,0.007831598646841798,0.0,0.0
0.69,0.8971764783070835,nan,0.007830712019786468,0.0077128402112748295,0.0,0.0
0.7,0.9063616308273105,nan,0.007841881060695055,0.00782052211773765,0.0,0.0
0.71,0.8847109857953869,nan,0.007847315128677201,0.007929567747087751,0.0,0.0
0.72,0.8520410432566621,nan,0.007862844224616805,0.007345307033995607,0.0,0.0
0.73,0.9133285950450876,nan,0.007853022944031784,0.007879746479942051,0.0,0.0
0.74,0.8749980154428654,nan,0.007874769250234337,0.007283054939597244,0.0,0.0
0.75,0.8550593858000578,nan,0.00788353630012606,0.00761825635729263,0.0,0.0
0.76,0.9000685373911237,nan,0.00787631667278843,0.007869580265501996,0.0,0.0
0.77,0.8651167568500313,nan,0.007889786513314512,0.007812151656807376,0.0,0.0
0.78,0.8743927157854876,nan,0.007890408623063339,0.007799824614192263,0.0,0.0
0.79,0.8819636480371686,nan,0.00790092087619243,0.007476238344223618,0.0,0.0
0.8,0.8988455320694309,nan,0.007909554835562105,0.007735259031723674,0.0,0.0
0.81,0.8882497836273842,nan,0.007902889947442815,0.008158560176126817,0.0,0.0
0.82,0.890934048449735,nan,0.007910467215650363,0.007715168621286739,0.0,0.0
0.83,0.9256314090543283,nan,0.007913586633572112,0.008151102837095303,0.0,0.0
0.84,0.8994015515176317,nan,0.007920495351383172,0.007801452923277052,0.0,0.0
0.85,0.9093483454211824,nan,0.007918840061043375,0.008044531443353709,0.0,0.0
0.86,0.8975120756026882,nan,0.007929971646625233,0.007961462507842798,0.0,0.0
0.87,0.9086075977066349,nan,0.00793128909511065,0.007661801002894597,0.0,0.0
0.88,0.8785906694292975,nan,0.007939032452561001,0.00769835495533111,0.0,0.0
0.89,0.9109709785274289,nan,0.007949491712413104,0.00783091850835127,0.0,0.0
0.9,0.8898541437142321,nan,0.007951306690922366,0.007629811221147698,0.0,0.0
0.91,0.8788146623094263,nan,0.00795589176054523,0.007683437258920067,0.0,0.0
0.92,0.8947349400190088,nan,0.007959465479409511,0.0076745741132174805,0.0,0.0
0.93,0.90817516906201,nan,0.007956658725953303,0.007777468051209935,0.0,0.0
0.94,0.8953312444143455,nan,0.007964249607514184,0.007803963497039601,0.0,0.0
0.95,0.9164351950334065,nan,0.007974385512458437,0.007669918708984147,0.0,0.0
0.96,0.8852247066769509,nan,0.007977480352225563,0.007651833926691887,0.0,0.0
0.97,0.9096959524163841,nan,0.007973927642186851,0.007939115299393285,0.0,0.0
0.98,0.9000805234928976,nan,0.007983800040173294,0.0076272504152083975,0.0,0.0
0.99,0.8895340976415469,nan,0.007988543965960493,0.0075338845684151945,0.0,0.0
1.0,0.8963085581585365,nan,0.007990761606361696,0.007608083652962727,0.0,0.0
