2,3,4,True,False
0,0,0,8733,1691401
1,0,0,2022,215563
10,45,120,4,345
9,36,84,7,525
11,55,165,1,93
2,1,0,183,17427
12,66,220,0,22
8,28,56,12,594
2,0,0,388,27247
11,45,120,0,20
10,36,84,3,59
9,28,56,3,53
6,15,20,19,1507
7,21,35,12,1182
16,56,112,0,2
3,3,1,39,5444
14,43,76,0,1
13,36,55,0,5
7,15,20,5,155
8,21,35,1,144
4,3,1,5,831
14,42,70,0,7
6,4,1,2,15
12,31,45,0,1
5,10,10,22,2550
13,38,66,0,0
12,34,60,0,4
5,2,0,2,57
13,42,88,0,9
4,1,0,18,784
3,1,0,48,4330
14,51,124,0,4
11,27,39,0,3
4,6,4,33,3076
12,39,85,0,3
3,2,0,4,265
10,24,36,0,20
11,31,57,0,6
9,18,21,1,19
8,16,20,0,10
6,10,10,3,312
-1,0,0,0,0
7,11,10,0,33
6,7,4,1,93
5,6,4,5,366
8,15,20,1,31
7,10,10,4,50
3,0,0,38,3361
9,16,14,0,19
8,13,11,2,33
10,29,56,0,6
9,22,35,0,11
12,46,120,0,4
13,56,165,0,1
12,55,165,0,1
11,37,84,0,1
4,2,0,2,387
10,21,24,0,7
5,1,0,2,116
5,4,1,3,116
9,21,35,1,6
10,28,56,0,1
9,13,11,1,14
9,12,8,0,7
8,9,5,1,18
7,6,2,1,6
6,6,2,0,6
4,0,0,4,384
7,9,5,0,22
8,12,8,0,2
11,25,30,0,1
4,4,1,4,88
10,20,20,0,10
10,16,14,0,11
10,18,21,0,4
10,11,10,0,1
11,12,10,1,0
9,11,10,0,0
6,1,0,1,30
7,3,1,0,1
6,3,1,0,20
6,6,4,1,40
5,0,0,1,44
1,1,0,0,0
5,3,1,1,141
0,1,0,0,0
12,31,57,0,0
11,24,36,0,6
13,31,45,0,3
12,25,30,0,2
11,20,20,0,2
8,10,10,0,4
9,10,10,0,0
8,11,10,0,6
10,10,10,0,7
11,15,20,0,2
8,6,4,0,5
7,2,0,0,22
7,7,4,0,8
9,16,20,0,2
7,4,1,0,8
6,2,0,0,34
8,4,1,0,1
5,7,4,0,7
2,3,1,0,0
6,3,0,0,13
7,5,1,0,0
5,5,1,1,8
3,4,1,0,0
6,0,0,0,3
5,6,2,1,1
4,3,0,0,19
3,5,4,0,0
6,9,5,1,1
4,8,5,0,0
5,8,5,0,0
6,8,5,0,1
7,10,6,1,1
6,10,6,0,0
5,10,6,0,0
7,11,6,0,0
8,11,6,0,0
4,5,2,0,19
5,5,2,0,18
5,3,0,0,7
7,3,0,0,0
2,2,0,0,0
3,3,0,0,0
0,-1,0,0,0
-1,-2,0,0,0
7,1,0,0,11
1,2,1,0,0
7,8,3,0,3
9,10,3,0,0
8,9,3,0,0
7,7,2,0,0
6,5,1,0,5
2,1,1,0,0
3,2,1,0,0
4,4,2,0,0
1,1,1,0,0
2,2,1,0,0
3,4,2,0,0
6,7,2,0,0
-2,0,0,0,0
