2,3,4,True,False
0,0,0,14495,2065084
1,0,0,1506,103227
11,55,165,0,12
9,36,84,2,40
2,1,0,100,7024
7,21,35,2,92
5,10,10,6,215
4,6,4,13,539
6,15,20,7,110
7,15,20,0,1
5,6,4,1,29
3,3,1,24,1832
4,3,1,3,144
3,1,0,18,653
10,45,120,0,39
8,21,35,0,2
2,0,0,103,5213
6,10,10,0,3
4,1,0,2,51
5,2,0,0,5
5,4,1,2,16
6,7,4,0,8
3,0,0,12,228
4,2,0,2,38
5,3,1,0,9
6,6,4,0,2
-1,0,0,0,0
-2,0,0,0,0
5,1,0,0,1
3,2,0,3,20
4,0,0,0,5
6,6,2,0,2
7,9,5,0,0
1,1,0,0,0
6,1,0,0,1
2,3,1,0,0
3,5,4,0,0
1,-1,0,0,0
3,4,1,0,0
4,4,1,0,7
6,4,1,0,0
0,-1,0,0,0
-2,-1,0,0,0
1,2,1,0,0
4,3,0,0,0
0,2,1,0,0
4,5,2,1,1
-1,1,1,0,0
2,2,1,0,0
-1,-1,0,0,0
0,1,0,0,0
2,2,0,0,0
