2,3,4,True,False
0,0,0,12753,1973785
1,0,0,1857,139887
11,55,165,0,12
9,36,84,1,97
2,1,0,142,10367
7,21,35,3,181
6,15,20,11,596
4,6,4,25,1460
5,6,4,3,72
5,10,10,17,806
6,10,10,0,48
3,3,1,37,2875
4,3,1,4,238
7,15,20,1,22
2,0,0,196,9519
8,28,56,3,87
3,0,0,22,630
8,21,35,1,5
11,27,39,0,1
10,21,24,0,3
9,16,14,0,0
10,20,20,0,3
11,25,30,0,0
5,2,0,0,7
8,13,11,0,2
7,9,5,0,8
6,4,1,0,7
8,12,8,0,1
4,2,0,1,85
3,1,0,18,1231
6,7,4,2,24
5,4,1,2,40
6,6,2,0,14
4,1,0,7,98
7,11,10,1,5
9,18,21,0,3
8,15,20,1,1
8,16,20,0,4
-1,0,0,0,0
8,9,5,0,1
7,7,4,0,6
6,6,4,0,5
8,11,10,0,4
4,0,0,1,38
9,28,56,0,3
10,36,84,0,0
1,1,0,0,0
-2,0,0,0,0
5,1,0,0,11
5,3,1,1,16
3,2,0,2,74
0,1,0,0,0
7,10,10,0,2
6,3,1,0,1
7,3,1,0,2
6,1,0,0,3
2,3,1,0,0
4,4,1,0,12
5,7,4,1,2
5,0,0,0,1
6,2,0,0,0
4,9,10,0,0
4,3,0,1,8
2,2,0,0,0
4,5,2,0,3
-2,-1,0,0,0
2,2,1,0,0
1,-1,0,0,0
3,2,1,0,0
0,-1,0,0,0
-1,-1,0,0,0
1,1,1,0,0
-4,-2,0,0,0
2,-1,0,0,0
3,3,0,0,0
5,3,0,0,0
2,1,1,0,0
