2,3,-1
0,0,7
0,0,2
5,1,12
0,0,1
1,0,9
1,0,4
1,0,5
3,3,5
1,0,5
0,0,3
1,0,66
0,0,8
1,0,2
1,0,5
2,0,26
37,309,17
0,0,8
0,0,33
4,1,14
0,0,4
5,0,54
0,0,8
0,0,7
0,0,10
0,0,2
0,0,4
1,0,13
2,1,72
0,0,5
0,0,2
0,0,44
1,0,9
0,0,8
0,0,15
2,0,2
1,0,7
2,0,5
0,0,2
2,0,11
1,0,15
22,231,12
1,0,10
2,0,7
0,0,8
0,0,2
12,5,57
1,0,4
0,0,12
6,1,20
1,0,7
0,0,4
0,0,8
0,0,6
8,1,36
0,0,2
1,0,3
1,0,3
3,0,13
1,0,5
0,0,4
0,0,5
1,0,35
0,0,7
8,21,8
0,0,2
5,0,42
5,6,11
17,7,81
0,0,14
4,1,18
1,0,15
10,3,78
6,3,16
0,0,4
4,1,39
1,0,14
1,0,9
2,0,23
1,0,14
5,1,38
0,0,6
0,0,10
0,0,4
0,0,1
0,0,2
0,0,1
2,1,4
2,1,4
2,1,8
0,0,1
4,3,7
0,0,2
2,0,14
1,0,19
0,0,2
2,0,11
0,0,8
0,0,2
2,0,36
0,0,3
1,0,8
0,0,6
0,0,8
0,0,1
4,0,16
0,0,2
7,3,26
1,0,8
3,1,31
5,1,42
7,21,44
0,0,9
0,0,1
1,0,4
5,1,18
6,4,16
24,231,11
1,0,14
22,231,20
1,0,9
1,0,9
1,0,22
0,0,8
1,0,2
4,0,9
1,0,59
10,4,52
1,0,39
2,0,19
2,0,29
2,0,12
0,0,6
0,0,1
4,0,15
4,3,15
0,0,9
0,0,8
1,0,11
0,0,5
6,3,23
1,0,4
3,0,8
1,0,16
1,0,4
2,0,9
0,0,4
0,0,17
1,0,2
7,6,16
8,2,40
2,1,6
1,0,20
0,0,5
5,2,38
0,0,4
3,1,7
1,0,20
0,0,4
1,0,10
5,3,12
1,0,6
2,0,13
1,0,7
0,0,4
0,0,2
23,231,19
5,3,27
1,0,21
0,0,4
2,0,29
3,3,9
0,0,15
27,232,34
0,0,3
0,0,4
1,0,22
0,0,2
7,15,39
3,2,27
2,1,7
1,0,42
0,0,3
3,0,59
22,231,16
2,0,2
1,0,21
0,0,3
1,0,15
0,0,3
1,0,9
1,0,13
0,0,8
0,0,11
3,1,15
5,0,14
0,0,4
6,4,22
0,0,18
0,0,6
2,1,9
0,0,4
1,0,2
1,0,20
2,1,3
4,1,25
0,0,4
1,0,5
5,0,18
22,231,19
0,0,29
19,23,47
5,1,35
0,0,5
3,0,22
1,0,8
0,0,6
2,0,44
1,0,11
0,0,1
2,0,63
2,0,29
0,0,5
26,100,72
0,0,5
7,0,55
1,0,7
3,1,17
1,0,6
0,0,3
5,1,15
2,0,4
3,0,19
1,0,9
1,0,2
0,0,2
7,3,24
2,1,30
6,2,13
2,0,24
1,0,9
2,0,11
0,0,9
0,0,9
4,2,20
0,0,6
1,0,11
1,0,26
1,0,34
1,0,14
1,0,16
5,3,18
0,0,9
1,0,2
5,3,7
7,1,18
2,0,136
0,0,1
2,0,14
3,1,8
1,0,12
4,0,46
4,3,14
0,0,12
4,0,18
2,0,10
25,232,15
1,0,13
0,0,1
4,0,46
1,0,2
32,234,34
6,15,15
1,0,21
0,0,11
1,0,11
1,0,16
0,0,2
0,0,7
4,0,22
0,0,3
4,0,10
0,0,17
0,0,5
0,0,9
0,0,2
2,1,9
0,0,5
5,1,21
2,0,5
2,1,11
1,0,5
6,15,14
5,0,69
0,0,9
2,1,7
3,1,9
0,0,5
1,0,2
1,0,6
0,0,1
0,0,6
0,0,7
0,0,1
6,1,33
6,6,27
0,0,5
22,231,7
22,231,3
22,231,2
22,231,1
25,232,20
22,231,2
22,231,3
22,231,8
22,231,2
22,231,20
30,237,44
22,231,3
22,231,6
0,0,10
0,0,4
0,0,3
1,0,17
3,0,3
2,0,14
1,0,1
2,0,3
0,0,5
2,0,3
1,0,1
9,1,23
10,21,20
2,0,4
1,0,9
4,0,28
0,0,3
10,4,33
1,0,10
1,0,17
0,0,1
0,0,1
0,0,6
1,0,10
0,0,3
2,1,3
1,0,32
1,0,2
1,0,5
3,0,20
0,0,7
2,0,7
0,0,2
0,0,2
0,0,4
3,0,9
14,78,32
2,0,52
1,0,2
2,0,3
2,0,21
2,0,23
1,0,4
0,0,6
0,0,1
0,0,14
0,0,1
0,0,11
0,0,14
2,0,15
5,1,15
1,0,7
0,0,8
4,4,9
10,6,25
2,0,25
4,2,20
2,0,9
1,0,6
1,0,4
4,1,19
0,0,14
0,0,3
0,0,1
3,0,8
0,0,2
1,0,2
1,0,10
0,0,1
0,0,1
2,0,11
0,0,1
2,0,10
0,0,2
0,0,5
0,0,2
2,1,24
1,0,6
1,0,3
0,0,12
1,0,2
1,0,18
0,0,5
2,0,3
1,0,5
3,0,18
1,0,1
0,0,1
0,0,6
13,78,11
0,0,1
3,0,19
0,0,18
0,0,14
2,0,14
0,0,18
1,0,7
2,0,3
5,0,19
1,0,7
0,0,7
0,0,22
1,0,1
1,0,5
2,1,7
2,1,2
2,1,4
1,0,6
1,0,5
2,0,22
0,0,4
0,0,5
2,1,15
1,0,3
2,0,11
2,0,13
1,0,15
0,0,3
0,0,19
1,0,1
1,0,8
6,15,7
1,0,5
0,0,4
1,0,7
1,0,4
0,0,1
1,0,9
1,0,3
0,0,8
1,0,5
2,0,17
0,0,8
1,0,15
5,6,15
1,0,10
1,0,3
0,0,11
1,0,4
4,0,13
3,0,46
2,0,5
1,0,6
0,0,2
1,0,18
1,0,16
1,0,14
0,0,10
0,0,1
4,0,59
3,3,9
0,0,7
1,0,8
0,0,4
1,0,34
0,0,5
0,0,1
2,1,10
0,0,4
0,0,4
0,0,3
0,0,2
1,0,4
0,0,10
0,0,4
2,0,5
1,0,6
1,0,9
1,0,7
2,1,3
2,1,1
1,0,5
3,0,7
0,0,1
1,0,4
0,0,5
2,0,10
5,3,15
0,0,7
3,1,22
0,0,7
0,0,1
0,0,20
4,1,10
3,0,18
1,0,7
0,0,2
0,0,1
0,0,1
0,0,5
0,0,15
0,0,2
1,0,11
0,0,5
2,0,21
4,1,21
1,0,2
0,0,1
0,0,8
2,0,8
2,0,25
0,0,3
0,0,13
0,0,2
0,0,1
5,1,33
0,0,1
4,3,27
2,0,13
3,0,9
2,0,17
3,1,47
14,78,14
1,0,4
2,0,6
0,0,2
0,0,4
1,0,2
1,0,8
0,0,3
0,0,6
2,0,15
4,0,21
3,0,11
2,0,9
1,0,13
7,3,38
3,0,7
1,0,2
1,0,10
0,0,4
2,0,9
2,1,2
1,0,2
3,0,11
0,0,2
0,0,1
2,0,21
13,78,2
0,0,5
2,0,8
1,0,5
0,0,4
0,0,1
0,0,13
0,0,18
6,1,16
0,0,3
1,0,5
0,0,14
0,0,1
2,0,8
0,0,2
0,0,3
0,0,1
5,3,14
7,3,24
4,0,53
2,1,3
0,0,1
0,0,8
3,1,7
1,0,4
0,0,5
1,0,16
1,0,11
4,1,21
0,0,8
0,0,4
2,1,6
1,0,11
2,0,5
2,0,8
3,1,6
2,1,8
0,0,2
2,1,9
1,0,10
0,0,3
0,0,2
1,0,7
1,0,4
2,0,4
0,0,4
2,0,10
1,0,21
0,0,1
2,1,21
1,0,16
2,0,12
1,0,5
0,0,5
2,0,21
0,0,23
0,0,5
3,0,30
3,0,12
0,0,5
1,0,4
0,0,1
1,0,12
0,0,4
2,1,5
13,78,2
17,79,7
19,93,4
13,78,1
13,78,34
14,78,13
13,78,1
13,78,2
4,3,12
0,0,1
0,0,18
1,0,18
0,0,11
0,0,1
4,2,19
0,0,2
0,0,2
1,0,2
1,0,8
0,0,3
2,0,28
1,0,25
1,0,1
1,0,2
0,0,1
2,0,8
1,0,3
4,1,14
0,0,14
0,0,7
3,0,7
1,0,3
0,0,1
0,0,3
8,2,42
5,0,20
1,0,6
4,1,16
0,0,6
1,0,12
3,0,16
0,0,3
0,0,8
0,0,8
0,0,1
0,0,4
1,0,3
1,0,5
1,0,22
2,0,18
1,0,18
0,0,2
8,4,38
1,0,1
0,0,12
1,0,1
0,0,1
0,0,4
1,0,26
1,0,5
0,0,3
0,0,7
3,1,17
1,0,1
0,0,7
2,0,8
0,0,4
0,0,5
1,0,6
1,0,12
0,0,5
4,0,22
0,0,1
0,0,1
0,0,7
0,0,3
0,0,10
1,0,8
3,0,14
2,0,14
0,0,4
0,0,4
1,0,7
1,0,6
1,0,1
1,0,2
0,0,10
0,0,1
0,0,5
1,0,13
1,0,13
0,0,1
0,0,3
0,0,4
0,0,6
3,1,8
1,0,8
5,1,12
8,8,17
0,0,7
1,0,4
0,0,3
3,1,8
1,0,11
6,2,21
0,0,1
3,1,14
9,8,51
0,0,3
0,0,1
1,0,6
4,1,29
1,0,2
0,0,2
1,0,2
6,1,46
3,1,16
1,0,1
1,0,1
1,0,6
11,21,14
1,0,27
4,0,25
2,0,16
0,0,4
0,0,1
0,0,5
0,0,3
0,0,2
0,0,4
0,0,2
0,0,2
0,0,1
0,0,5
1,0,7
3,1,22
2,0,43
6,1,36
5,6,6
2,1,4
0,0,14
2,1,3
1,0,6
0,0,3
0,0,14
1,0,4
12,11,55
0,0,11
16,17,73
2,0,2
3,0,15
0,0,5
2,1,3
0,0,1
0,0,4
0,0,1
2,0,15
0,0,2
0,0,2
1,0,8
1,0,55
0,0,1
0,0,1
0,0,2
0,0,1
2,0,12
0,0,3
1,0,2
4,1,19
3,0,30
9,21,44
0,0,1
5,1,6
1,0,7
4,2,25
0,0,14
1,0,26
0,0,2
0,0,3
0,0,6
1,0,8
0,0,2
0,0,10
0,0,6
0,0,3
7,15,20
11,10,36
3,0,9
0,0,2
0,0,14
1,0,7
0,0,15
0,0,2
1,0,4
1,0,6
3,1,4
5,2,81
1,0,37
1,0,4
0,0,2
0,0,1
3,1,17
7,3,18
1,0,3
2,1,7
0,0,3
0,0,2
0,0,2
0,0,5
4,1,9
3,1,23
1,0,3
0,0,2
3,1,2
1,0,8
1,0,1
5,3,24
2,0,6
0,0,18
0,0,1
1,0,3
0,0,4
0,0,8
0,0,1
0,0,6
0,0,2
0,0,1
1,0,2
6,4,9
3,0,32
1,0,17
0,0,17
0,0,9
0,0,2
2,0,8
2,1,6
0,0,4
0,0,1
1,0,5
11,7,36
2,1,5
0,0,32
2,1,10
5,1,7
4,0,30
1,0,15
1,0,13
2,0,12
3,0,38
0,0,5
0,0,11
0,0,6
3,0,18
1,0,5
4,0,33
1,0,5
1,0,2
5,1,24
2,1,3
0,0,2
0,0,13
1,0,2
1,0,13
4,1,23
0,0,6
0,0,1
4,0,24
0,0,4
14,23,19
0,0,7
0,0,10
0,0,3
1,0,8
0,0,1
0,0,9
0,0,1
1,0,2
0,0,7
0,0,7
0,0,6
2,1,11
0,0,4
1,0,9
6,1,39
2,0,4
1,0,7
0,0,2
0,0,8
0,0,1
0,0,3
0,0,2
3,0,40
0,0,4
0,0,11
0,0,7
1,0,3
0,0,2
1,0,11
2,0,20
0,0,1
1,0,2
3,0,11
0,0,1
0,0,2
0,0,2
5,4,3
2,1,3
0,0,1
6,15,9
1,0,12
2,0,14
5,1,15
0,0,1
0,0,1
0,0,4
2,1,1
2,1,1
0,0,2
0,0,1
1,0,9
0,0,1
0,0,4
0,0,8
1,0,6
1,0,25
4,6,1
5,6,5
1,0,4
0,0,1
0,0,1
0,0,2
1,0,5
0,0,8
1,0,9
1,0,4
0,0,11
2,0,13
1,0,3
0,0,1
2,0,7
0,0,1
0,0,2
3,0,21
0,0,3
4,1,21
2,1,7
1,0,2
0,0,1
0,0,7
3,0,12
2,0,18
2,0,22
0,0,13
0,0,1
4,0,18
1,0,9
0,0,12
0,0,3
1,0,20
1,0,13
0,0,10
0,0,1
2,1,3
2,0,57
1,0,9
4,0,20
2,0,14
2,0,20
1,0,23
0,0,4
3,1,11
1,0,9
0,0,1
0,0,1
1,0,19
2,0,5
0,0,2
4,3,14
4,0,32
0,0,1
0,0,6
4,2,7
0,0,4
0,0,1
0,0,2
1,0,4
4,1,30
5,1,17
0,0,10
3,0,18
0,0,10
3,0,27
9,8,91
0,0,1
1,0,9
1,0,8
2,0,11
2,0,62
0,0,14
2,0,14
0,0,6
0,0,14
5,3,14
1,0,17
0,0,5
3,0,14
0,0,2
0,0,8
0,0,1
0,0,21
3,1,12
0,0,1
6,4,15
4,1,15
1,0,3
6,0,17
0,0,1
1,0,1
1,0,19
1,0,7
0,0,10
1,0,21
0,0,22
0,0,27
0,0,5
0,0,1
4,0,27
0,0,23
2,1,10
3,1,24
0,0,1
13,21,21
5,2,16
0,0,4
0,0,5
0,0,9
1,0,5
0,0,2
2,1,4
2,0,9
1,0,18
0,0,1
0,0,11
