2,3,4,True,False
0,0,0,15819,2127696
1,0,0,1156,75526
2,0,0,62,2711
10,45,120,0,13
7,21,35,0,16
4,6,4,5,312
3,3,1,30,1103
2,1,0,73,4286
3,1,0,7,285
4,3,1,1,70
5,6,4,0,6
6,15,20,0,9
5,10,10,2,75
-1,0,0,0,0
4,1,0,0,14
3,0,0,5,89
4,2,0,0,14
1,1,0,0,0
0,1,0,0,0
5,3,1,1,0
6,10,10,0,0
5,4,1,0,0
5,2,0,0,0
5,1,0,0,2
4,0,0,0,1
3,2,0,0,14
1,-1,0,0,0
4,3,0,0,1
4,4,1,1,1
3,4,1,0,0
6,5,1,0,0
0,-1,0,0,0
-2,-1,0,0,0
5,5,1,0,0
7,5,1,0,0
2,2,1,0,0
1,2,1,0,0
2,3,1,0,0
6,7,4,0,0
-2,0,0,0,0
-3,0,0,0,0
-1,-2,0,0,0
-4,-2,0,0,0
5,3,0,0,0
6,3,0,0,0
0,-2,0,0,0
-5,-2,0,0,0
-3,-1,0,0,0
-1,1,0,0,0
1,2,0,0,0
2,2,0,0,0
