2,3,4,True,False
0,0,0,13778,2028385
1,0,0,1682,118962
11,55,165,0,12
8,28,56,0,45
2,1,0,116,8245
7,21,35,2,110
4,6,4,12,925
6,15,20,10,212
3,3,1,41,2619
4,3,1,3,185
5,6,4,2,62
3,1,0,21,861
7,15,20,3,6
5,10,10,6,204
6,10,10,0,16
2,0,0,139,6954
3,0,0,12,349
9,18,21,0,1
6,7,4,1,15
5,4,1,1,25
4,2,0,2,53
6,4,1,1,2
5,2,0,0,6
4,1,0,1,57
7,9,5,0,3
7,11,10,0,3
1,1,0,0,0
6,6,4,0,4
5,3,1,1,10
-1,0,0,0,0
8,21,35,0,1
3,2,0,1,26
4,0,0,0,11
0,1,0,0,0
7,4,1,0,1
6,3,1,0,2
5,1,0,0,12
6,6,2,0,2
6,1,0,0,1
2,3,1,0,0
4,4,1,1,7
3,4,1,0,0
6,11,10,0,0
-2,-1,0,0,0
5,6,2,0,2
5,5,1,0,0
1,-1,0,0,0
1,2,1,0,0
7,3,0,0,0
6,2,0,0,0
0,-1,0,0,0
4,5,2,0,1
4,3,0,0,0
2,2,1,0,0
4,5,1,0,0
3,3,0,0,0
2,2,0,0,0
-2,0,0,0,0
-1,-2,0,0,0
-4,-2,0,0,0
6,3,0,0,0
3,5,4,0,0
5,7,4,0,0
-3,-2,0,0,0
-1,-1,0,0,0
-3,0,0,0,0
