2,3,4,True,False
0,0,0,9465,1758676
1,0,0,2042,198851
10,45,120,1,126
9,36,84,1,87
2,1,0,184,16427
8,28,56,6,277
7,21,35,8,548
2,0,0,361,22708
8,21,35,1,48
9,28,56,2,21
6,15,20,14,1299
7,15,20,3,122
6,10,10,9,297
5,10,10,24,2975
3,3,1,52,4619
5,3,1,6,113
11,27,39,0,2
7,10,10,0,57
9,16,14,1,13
3,1,0,50,3354
4,6,4,36,3248
10,21,24,0,1
8,15,20,0,16
9,18,21,0,3
8,13,11,0,10
7,11,10,0,32
5,6,4,8,409
6,6,4,3,56
6,7,4,0,52
5,4,1,2,72
4,3,1,6,684
4,1,0,11,564
4,2,0,3,198
7,9,5,1,25
5,2,0,0,73
3,2,0,3,340
3,0,0,44,2407
8,12,8,0,6
8,9,5,1,4
9,12,8,0,2
10,16,14,0,3
9,13,11,0,2
6,6,2,0,16
8,16,20,0,11
9,22,35,1,7
10,29,56,0,2
11,37,84,0,1
10,36,84,0,9
11,45,120,0,3
11,55,165,0,44
12,55,165,0,4
1,1,0,0,0
10,28,56,0,1
9,21,35,0,5
5,3,0,0,1
8,11,10,1,10
7,7,4,2,11
4,0,0,8,315
5,0,0,0,43
5,1,0,1,111
6,3,1,0,9
7,4,1,1,0
6,4,1,1,9
10,18,21,0,1
7,6,2,0,6
10,20,20,0,7
11,25,30,0,1
6,1,0,0,24
-1,0,0,0,0
2,2,0,0,0
10,22,35,0,1
9,16,20,0,1
2,3,1,0,0
3,6,4,0,0
8,7,4,0,0
8,10,10,0,4
9,11,10,0,4
6,2,0,1,8
3,5,4,0,0
4,4,1,0,37
4,3,0,1,20
5,5,1,2,13
0,1,0,0,0
6,7,2,0,7
2,2,1,0,0
1,2,1,0,0
4,5,2,0,22
2,5,4,0,0
-2,-1,0,0,0
6,9,5,1,1
1,5,4,0,0
5,7,4,0,27
6,8,4,0,0
3,4,1,0,0
1,3,1,0,0
5,5,2,0,12
6,5,1,0,3
-2,0,0,0,0
3,2,1,0,0
0,-1,0,0,0
-1,-1,0,0,0
7,2,0,0,0
4,5,4,0,0
1,2,0,0,0
-1,1,0,0,0
1,1,1,0,0
6,6,1,0,0
5,6,2,0,3
