2,3,True,False
0,0,14795,2079044
1,0,1492,97622
11,55,0,12
10,45,0,13
9,36,0,14
8,28,1,14
2,1,95,6360
5,10,7,250
4,6,12,614
3,3,35,1760
4,3,1,105
2,0,104,4488
6,10,0,8
6,15,0,34
5,6,3,25
7,15,0,1
5,4,0,16
3,1,14,500
4,2,2,35
5,2,0,1
4,1,0,44
6,7,0,6
-1,0,0,0
3,0,10,177
5,3,0,5
6,6,0,3
-2,0,0,0
1,1,0,0
4,0,0,11
5,1,0,2
5,0,1,2
0,1,0,0
3,2,1,21
2,2,0,0
4,4,0,8
2,3,0,0
1,-1,0,0
0,2,0,0
-3,-1,0,0
-2,-1,0,0
-4,-1,0,0
4,5,0,4
-4,-2,0,0
-1,-2,0,0
-2,-2,0,0
-1,-1,0,0
0,-1,0,0
5,5,0,2
6,4,0,0
1,2,0,0
7,11,0,0
-3,0,0,0
