2,3,4,True,False
0,0,0,7828,1608624
1,0,0,1916,226895
11,55,165,6,348
9,36,84,11,815
8,28,56,8,761
10,36,84,1,47
10,45,120,5,406
11,45,120,0,31
9,28,56,1,88
5,10,10,22,2131
6,10,10,1,227
6,15,20,12,1044
7,15,20,4,158
2,0,0,365,32027
7,21,35,11,1203
8,21,35,3,191
2,1,0,205,20249
3,3,1,33,5544
3,1,0,72,5281
3,0,0,60,3959
4,3,1,15,1243
12,66,220,1,94
6,4,1,1,77
5,3,1,4,215
13,78,286,0,50
11,27,39,0,16
10,21,24,0,20
4,6,4,32,3705
10,24,36,0,7
9,18,21,0,7
9,22,35,0,4
10,29,56,0,2
11,31,57,0,1
12,39,85,1,1
5,4,1,3,135
6,6,2,0,32
11,36,84,0,5
10,28,56,2,10
-1,0,0,0,0
4,1,0,17,1291
3,2,0,9,272
4,3,0,4,55
5,2,0,1,80
1,1,0,0,0
12,55,165,0,6
14,42,88,0,1
13,39,85,0,0
12,31,57,0,2
11,24,36,1,8
13,66,220,1,3
4,2,0,8,318
11,29,56,0,3
10,22,35,0,1
13,34,60,0,0
12,27,39,0,4
9,21,35,0,9
11,21,24,0,6
10,18,21,0,4
9,16,20,1,0
8,16,20,0,7
8,15,20,0,9
6,1,0,0,43
7,1,0,1,3
5,6,4,7,503
5,1,0,2,213
4,4,1,0,36
11,25,30,0,7
4,0,0,13,663
10,20,20,0,21
9,16,14,0,39
6,7,4,1,63
8,12,8,1,13
8,13,11,0,13
7,11,10,0,35
9,8,4,0,1
8,7,4,0,6
7,6,4,2,27
-2,0,0,0,0
9,7,4,0,15
8,4,1,0,2
7,9,5,0,37
12,34,60,1,3
8,10,10,0,15
6,6,4,3,109
7,3,1,0,4
6,3,1,0,30
2,2,0,0,0
0,1,0,0,0
5,0,0,1,99
7,10,10,1,46
5,3,0,1,37
6,3,0,0,13
11,20,20,0,5
12,25,30,0,3
6,0,0,0,15
10,16,14,0,12
7,7,4,0,37
8,11,10,0,11
9,12,8,0,6
9,10,10,0,8
10,15,20,0,1
9,15,20,0,3
8,9,5,0,17
9,13,11,0,3
6,2,0,0,49
7,4,1,0,3
7,6,2,0,0
2,3,1,0,0
9,12,10,0,4
8,8,4,1,1
5,5,1,0,21
6,7,2,1,4
8,8,2,0,0
9,8,2,0,0
10,8,2,0,0
8,7,2,0,0
8,6,4,0,2
4,5,2,1,45
5,5,2,1,16
2,2,1,0,0
7,9,3,1,4
9,10,3,0,0
10,10,3,0,0
7,7,2,0,0
7,3,0,0,5
1,2,1,0,0
-2,-1,0,0,0
8,3,0,1,5
5,6,2,0,11
5,7,3,0,1
7,2,0,0,8
4,10,10,0,0
3,6,4,0,0
0,-2,0,0,0
1,-1,0,0,0
6,5,1,1,0
-1,-2,0,0,0
0,-1,0,0,0
3,2,1,0,0
7,0,0,0,0
8,1,0,0,1
-1,-1,0,0,0
7,5,1,0,0
6,7,3,0,27
7,6,1,0,6
7,8,3,0,0
8,9,3,0,0
5,4,0,0,7
3,4,2,0,0
1,1,1,0,0
