2,3,-1
3,1,4
2,1,1
7,2,15
1,0,3
0,0,1
8,10,11
12,28,9
41,135,13
18,25,12
5,3,4
99,328,46
21,82,4
13,58,2
19,58,12
19,77,7
17,76,3
17,61,4
11,55,1
17,76,5
15,56,4
15,56,9
62,333,20
14,56,12
32,95,30
0,0,2
2,1,3
5,4,2
11,14,8
11,17,5
2,1,2
142,9592,5
51,251,40
90,352,38
54,158,22
29,172,9
40,204,12
40,124,14
14,30,12
32,132,12
54,215,17
15,78,3
5,3,19
5,3,9
9,15,16
23,62,10
4,1,4
17,18,21
19,28,17
4,2,2
19,33,17
0,0,1
71,260,45
29,103,30
5,4,2
33,43,23
2,1,1
3,1,5
2,1,6
7,10,5
2,0,4
0,0,1
102,593,36
34,104,15
5,3,5
5,0,9
53,116,86
8,5,23
10,9,16
15,7,14
3,1,4
195,18148,7
1,0,4
1,0,1
8,1,12
12,4,9
12,23,15
3,1,4
10,12,7
2,0,3
0,0,1
7,9,4
0,0,1
6,3,5
16,92,2
2,1,2
32,80,32
26,101,6
12,55,2
12,55,2
35,102,17
20,63,15
11,55,2
20,65,9
11,55,5
12,55,8
23,80,10
40,407,5
19,66,9
15,37,14
6,4,5
9,6,18
19,17,16
0,0,1
15,79,6
2,1,1
5,2,6
24,62,12
7,6,3
72,310,32
2,0,3
31,89,13
36,128,12
3,1,2
23,67,10
13,31,4
60,273,38
186,13914,9
22,70,23
144,9595,8
7,7,9
79,1969,15
9,12,5
8,3,7
12,55,13
13,36,7
9,12,12
4,2,10
39,116,16
2,1,3
13,11,26
68,1955,11
0,0,1
3,1,2
9,13,4
3,1,4
27,64,29
29,77,13
35,102,66
5,6,12
35,155,11
5,6,5
4,6,2
4,6,1
9,12,5
4,6,3
1,0,1
12,12,8
16,59,6
12,55,7
1,0,1
36,92,27
5,7,7
30,216,17
11,11,7
6,4,5
2,1,2
27,21,74
13,6,26
0,0,1
65,219,67
170,9657,68
0,0,1
49,107,33
2,1,1
35,84,17
301,23431,22
137,646,59
72,622,19
5,4,2
5,2,4
199,18149,16
12,15,5
209,18164,13
15,30,5
10,5,19
26,22,28
21,26,27
81,214,65
17,14,18
28,44,12
374,32029,17
3,3,2
12,7,26
3,1,3
6,1,9
5,0,14
10,6,13
4,1,5
