2,3,True,False
0,0,108810,18184670
1,0,38821,2992845
2,1,5908,360931
3,3,1577,112296
4,6,701,50905
2,0,10483,541784
6,15,302,23128
5,10,460,35601
7,21,255,19851
5,6,337,13694
6,13,23,212
4,2,464,14217
1,1,0,0
3,2,287,9609
6,12,15,233
5,8,40,723
4,3,860,34544
5,3,356,10526
3,1,3187,134818
2,3,0,0
3,0,2583,105518
2,5,0,0
-2,-1,0,0
0,-1,0,0
4,5,57,1118
5,7,45,1360
5,11,0,0
4,4,159,4334
4,8,0,0
5,4,232,6941
-1,0,0,0
-2,0,0,0
6,10,174,8143
2,2,0,0
3,5,0,0
5,14,0,0
-3,-3,0,0
2,7,0,0
3,7,0,0
9,16,26,698
8,28,243,15448
6,7,72,2753
14,91,25,1350
9,36,166,10490
8,13,21,573
7,18,9,95
4,7,0,0
5,9,18,285
4,1,1142,40637
7,10,78,2042
7,15,111,5079
6,14,5,82
10,45,114,6521
6,6,154,4621
8,12,14,360
10,13,5,80
1,-1,0,0
1,3,0,0
6,4,129,3453
2,4,0,0
5,2,274,7589
6,9,22,587
80,3160,1,109
8,10,28,622
3,4,0,0
7,11,49,1554
6,8,29,601
3,6,0,0
81,3161,0,1
82,3161,0,1
43,821,0,1
7,16,11,249
44,821,0,1
3,14,0,0
5,15,0,0
41,820,5,266
7,7,56,1363
44,822,1,0
8,8,14,292
42,820,0,16
1,2,0,0
7,17,7,117
42,821,0,2
42,824,0,1
46,827,0,1
24,253,0,24
6,11,27,632
24,257,0,0
28,260,0,0
23,253,6,309
6,5,53,947
25,254,0,4
21,248,0,0
26,255,0,0
32,282,0,1
26,254,0,3
30,281,0,0
7,14,14,113
27,263,0,2
-1,-1,0,0
7,12,16,267
28,263,0,0
25,253,0,2
22,253,0,0
13,78,81,3592
12,78,0,0
15,79,5,74
14,78,12,447
11,77,0,0
18,88,0,6
15,78,2,72
4,0,639,20519
20,89,0,1
0,1,0,0
5,1,382,11287
17,80,0,7
16,79,1,27
17,84,0,8
12,66,63,3503
5,16,0,0
13,66,15,467
16,72,0,4
14,66,3,79
14,67,3,94
6,16,0,0
8,19,8,52
16,68,0,4
15,67,0,31
10,19,4,49
8,17,3,93
9,17,7,100
9,19,3,61
15,72,0,2
14,69,0,9
18,120,0,15
19,121,0,5
18,121,2,19
7,9,32,966
16,120,21,967
17,121,2,8
15,120,0,0
0,-2,0,0
-2,-3,0,0
17,120,9,115
18,123,0,4
19,123,1,11
14,79,1,21
15,81,0,5
7,6,48,1405
16,81,3,26
9,28,64,2792
10,29,19,509
11,29,5,198
11,31,6,184
10,28,15,566
9,29,12,95
13,56,7,150
11,55,66,4934
14,58,3,27
12,55,20,822
-3,-1,0,0
13,55,8,168
12,56,1,44
15,61,1,17
13,58,0,15
16,61,1,6
18,84,0,5
17,82,0,5
16,80,1,3
8,23,2,71
16,84,1,7
18,93,0,0
17,97,0,0
15,91,3,205
4,10,0,0
16,92,0,32
3,9,0,0
5,20,0,0
18,97,0,5
4,9,0,0
17,94,1,10
18,95,0,2
17,92,0,15
16,94,0,2
19,95,0,1
2,6,0,0
15,92,1,8
16,91,0,30
16,96,0,2
11,46,1,30
12,50,1,14
12,45,9,159
12,46,6,172
9,45,0,0
13,46,5,71
13,45,2,37
11,45,38,1015
11,50,0,8
13,48,0,51
13,51,0,16
12,48,0,13
18,136,2,24
17,136,6,310
20,139,1,3
19,137,0,6
20,137,0,0
18,137,0,3
19,139,0,0
8,15,50,1255
16,136,0,0
-3,-6,0,0
13,67,3,26
-4,-7,0,0
15,69,1,36
11,66,0,0
16,69,0,14
8,20,4,56
9,21,41,959
7,3,43,1105
10,9,3,61
11,10,1,25
9,7,15,248
15,58,1,13
14,56,1,61
15,57,0,24
17,43,0,3
8,9,20,435
9,9,10,168
7,8,19,452
5,5,58,1131
8,7,16,579
15,28,0,1
17,72,1,3
1,6,0,0
14,25,0,10
7,4,49,1324
6,3,117,3343
13,24,1,20
0,5,0,0
17,76,0,8
8,4,23,448
15,55,3,28
14,47,0,15
11,18,2,52
10,18,8,149
12,30,1,67
4,14,0,0
7,27,0,0
12,34,3,85
9,18,9,313
9,31,3,16
0,3,0,0
11,25,4,131
12,26,1,18
11,26,2,23
10,25,3,57
10,21,10,322
12,31,6,180
13,38,1,94
14,51,0,29
15,51,0,39
14,48,0,19
10,30,2,33
9,44,0,0
5,18,0,0
8,21,111,4154
-1,-8,0,0
-4,-3,0,0
14,80,0,6
20,154,1,7
21,156,1,5
21,154,0,2
19,155,0,0
20,153,0,6
8,16,25,933
19,153,1,45
10,16,11,264
18,153,8,418
20,156,0,0
22,159,1,3
23,163,0,0
19,154,0,7
17,106,0,8
20,115,0,1
15,105,7,424
16,105,3,75
19,115,0,0
18,108,0,1
19,111,0,2
17,105,0,10
16,106,0,10
18,106,0,4
17,107,0,2
20,124,0,0
-4,-6,0,0
21,126,0,1
18,122,0,1
21,130,0,2
9,23,3,75
23,231,0,12
22,231,1,151
25,232,0,0
23,232,0,0
25,234,0,2
21,231,0,0
27,237,0,0
26,236,0,1
0,-3,0,0
-1,-3,0,0
24,232,0,3
21,229,0,0
27,238,0,0
24,231,0,0
5,13,0,0
21,230,0,0
26,234,0,0
25,243,0,2
23,233,0,1
25,237,0,1
17,122,0,2
19,132,0,0
6,2,125,2868
19,126,0,2
20,125,0,1
20,134,0,0
20,126,2,6
18,125,0,1
7,5,33,682
18,138,0,0
19,141,0,1
9,12,8,207
19,136,0,3
21,142,0,1
24,145,0,0
19,138,0,0
17,81,0,11
19,171,2,161
20,171,1,13
18,171,0,0
6,1,114,2722
21,171,0,1
22,172,0,1
23,174,0,0
7,13,11,312
18,170,0,0
8,5,16,346
21,172,0,4
24,175,0,3
20,172,0,2
20,173,0,1
22,174,0,1
17,70,1,30
9,6,8,146
8,6,20,443
15,68,0,4
13,68,2,2
18,81,1,6
9,30,0,42
8,18,4,148
7,26,0,0
-1,1,0,0
16,119,0,0
15,119,0,0
3,12,0,0
10,17,8,84
15,80,0,0
18,82,0,7
9,11,16,280
22,100,0,2
20,99,0,13
8,22,5,191
2,9,0,0
12,28,2,39
21,88,0,2
9,13,6,289
17,69,0,1
11,27,2,124
10,11,5,99
9,14,6,128
10,15,3,102
11,15,1,41
10,14,4,67
9,24,0,91
9,22,16,684
10,24,10,235
20,87,0,2
19,87,0,12
8,11,32,701
19,81,0,12
15,66,2,18
5,12,0,0
15,71,0,2
18,76,0,16
10,55,0,0
17,65,0,5
16,65,0,9
1,-2,0,0
-1,-2,0,0
-2,1,0,0
14,46,2,40
11,65,0,0
4,15,0,0
-3,0,0,0
9,20,3,71
11,30,3,60
12,32,3,24
13,34,2,32
11,28,9,123
4,12,0,0
10,32,1,17
14,70,0,10
8,14,15,105
11,21,6,112
15,70,0,5
11,13,4,53
14,19,1,6
16,67,0,5
17,73,0,3
9,15,16,319
97,4656,0,69
98,4656,0,2
16,70,0,5
21,83,0,4
10,36,60,1953
13,40,1,8
18,53,0,0
11,37,11,317
10,37,2,70
12,39,3,65
11,36,17,381
13,39,0,33
14,39,0,8
16,52,0,3
54,1378,0,3
-1,3,0,0
8,36,0,0
53,1378,3,104
55,1379,0,1
12,37,7,116
57,1384,0,0
54,1379,0,1
56,1381,0,2
62,1413,0,1
14,42,1,45
50,855,0,0
45,826,0,2
44,823,0,1
15,49,3,44
47,827,0,0
44,826,0,0
14,49,1,15
43,825,0,0
43,826,0,0
51,864,0,0
13,47,0,18
50,864,0,1
32,297,0,0
10,6,5,62
24,254,0,1
27,255,0,0
32,298,0,1
26,256,0,3
33,298,0,1
27,198,0,0
28,198,0,4
16,54,0,4
17,55,0,0
29,198,0,1
29,190,0,1
17,153,0,0
23,123,0,0
24,123,0,0
15,52,0,1
24,115,0,0
3,10,0,0
17,79,1,8
18,80,1,2
19,82,0,1
18,85,0,1
19,85,0,0
20,85,0,1
26,156,0,2
27,156,0,1
21,94,0,1
19,93,0,10
22,114,0,2
23,114,0,0
17,52,0,3
-6,-10,0,0
-3,-4,0,0
-4,-10,0,0
-4,-9,0,0
7,20,3,39
12,36,3,79
21,102,0,5
