2,3,True,False
0,0,12149,1937209
1,0,1852,148950
2,0,225,11733
11,55,0,12
10,45,0,13
9,36,0,28
8,28,1,71
7,21,4,255
6,15,10,390
5,10,14,710
8,21,2,11
2,1,162,13156
6,10,1,59
7,15,3,18
4,6,19,1618
5,6,3,153
3,0,27,959
3,1,32,1664
3,3,48,3704
4,3,8,339
9,16,0,7
10,20,0,1
11,25,0,1
12,31,0,0
11,27,0,1
4,1,7,171
10,21,0,1
8,12,0,0
5,2,0,6
7,9,0,7
6,6,0,18
-1,0,0,0
8,13,0,2
6,7,1,7
5,4,1,48
4,2,2,142
5,3,3,54
7,11,0,3
3,2,0,74
7,10,0,1
4,0,1,74
6,4,0,0
1,1,0,0
5,1,0,22
5,0,1,5
6,3,0,2
6,1,0,5
2,3,0,0
3,6,0,0
0,1,0,0
4,4,1,7
1,2,0,0
2,2,0,0
6,8,0,1
5,5,0,1
3,4,0,0
1,3,0,0
6,2,0,1
1,-1,0,0
0,2,0,0
-2,0,0,0
0,-2,0,0
0,-1,0,0
-1,-2,0,0
2,-1,0,0
1,-2,0,0
