2,3,True,False
0,0,12853,1975629
1,0,1795,138432
11,55,0,12
10,45,0,13
7,21,5,223
6,15,7,371
2,1,129,10040
4,6,22,1179
5,10,12,710
5,6,1,53
3,1,24,1114
3,3,58,3310
4,3,8,322
2,0,183,9638
7,15,1,14
6,10,2,41
7,9,0,3
8,13,0,2
9,16,0,2
3,0,21,628
6,6,1,16
5,4,1,35
7,11,0,10
6,7,0,9
4,1,3,125
7,10,0,3
5,3,1,29
3,2,4,54
7,7,0,4
5,2,0,12
6,4,0,5
4,2,0,72
8,21,2,10
8,28,0,15
-1,0,0,0
1,1,0,0
4,0,2,43
5,1,1,10
5,0,0,2
8,9,0,1
8,11,0,2
2,3,0,0
4,4,2,8
-2,0,0,0
5,5,0,1
0,1,0,0
4,5,0,1
0,-1,0,0
1,-1,0,0
3,6,0,0
1,5,0,0
-3,-1,0,0
-4,-1,0,0
5,8,1,0
2,5,0,0
-2,-1,0,0
0,2,0,0
1,3,0,0
2,2,0,0
-3,0,0,0
1,2,0,0
-1,1,0,0
-4,-2,0,0
-1,-2,0,0
6,3,0,0
-1,-1,0,0
-5,-2,0,0
0,-2,0,0
7,3,0,0
