2,3,True,False
0,0,14528,2065403
1,0,1477,102103
10,45,0,13
9,36,0,14
6,15,2,128
5,10,11,378
3,3,40,2388
2,1,102,7336
4,6,9,739
3,1,10,623
4,3,4,155
2,0,120,5000
5,6,1,32
6,10,1,18
8,21,0,1
7,21,0,19
3,0,4,224
8,13,0,1
9,18,0,0
7,15,1,5
6,7,1,6
5,4,0,20
4,2,1,26
-1,0,0,0
7,10,0,2
6,6,0,6
4,1,2,36
5,3,1,3
-2,0,0,0
4,0,0,11
5,1,0,0
1,1,0,0
0,1,0,0
6,3,0,2
7,11,0,1
5,0,0,0
7,9,0,0
5,2,0,2
6,4,0,2
6,1,0,1
3,2,0,15
2,3,0,0
4,4,0,6
6,11,0,0
-1,-1,0,0
3,4,0,0
1,-1,0,0
2,2,0,0
-2,-1,0,0
-3,-1,0,0
1,2,0,0
0,-1,0,0
5,5,0,0
