2,3,4,True,False
0,0,0,11742,1907387
1,0,0,1943,160594
10,45,120,0,13
8,28,56,0,30
2,1,0,166,13946
7,21,35,1,124
6,15,20,9,812
5,10,10,17,1295
3,3,1,52,4285
4,3,1,3,419
4,6,4,30,2082
5,6,4,2,158
6,10,10,3,82
2,0,0,232,13244
8,21,35,0,7
7,15,20,2,54
9,18,21,0,4
10,24,36,0,1
11,27,39,0,1
10,21,24,0,1
4,2,0,1,140
8,16,20,0,9
5,2,0,0,14
9,22,35,0,1
4,1,0,5,239
7,11,10,0,15
7,10,10,0,8
8,15,20,0,5
3,1,0,34,1733
6,7,4,1,18
3,0,0,34,1006
5,3,1,3,45
3,2,0,1,152
6,4,1,1,12
7,7,4,0,0
6,6,4,1,20
5,4,1,2,93
6,6,2,0,22
7,9,5,0,3
1,1,0,0,0
-1,0,0,0,0
5,3,0,0,1
4,3,0,0,19
2,2,0,0,0
0,1,0,0,0
4,0,0,1,92
-2,0,0,0,0
2,3,1,0,0
5,1,0,1,36
6,3,1,0,10
7,6,4,0,3
8,11,10,0,1
0,-1,0,0,0
5,5,1,0,5
6,7,2,0,5
1,-1,0,0,0
5,6,2,0,7
4,4,1,0,17
-1,-1,0,0,0
3,6,4,0,0
5,8,5,0,1
7,3,0,0,4
4,5,2,1,2
6,2,0,0,6
3,5,2,0,0
5,5,2,0,0
7,6,2,0,0
7,2,0,0,1
6,1,0,0,2
-2,-1,0,0,0
2,2,1,0,0
1,2,1,0,0
5,0,0,0,2
7,4,1,0,0
5,4,0,0,0
-3,0,0,0,0
