2,3,True,False
0,0,8790,1697842
1,0,1974,210515
11,55,3,335
10,45,7,591
9,36,15,826
8,28,10,666
10,36,2,63
9,28,3,54
2,1,184,18365
7,21,8,573
8,21,0,60
11,45,2,29
12,55,1,7
2,0,310,26006
12,66,0,116
3,0,82,2907
3,1,48,4164
3,3,45,4787
6,15,15,1296
18,73,0,1
17,64,0,0
15,51,0,4
14,43,0,0
4,3,20,681
13,38,0,5
5,10,20,2135
14,46,0,8
16,65,0,3
15,55,0,2
16,60,0,2
17,70,0,0
18,76,0,1
17,66,0,1
15,49,0,2
16,57,0,4
13,36,0,1
11,27,0,9
12,34,0,8
4,6,33,3854
13,42,0,3
12,39,1,6
11,31,0,16
10,24,0,2
10,29,2,8
11,37,0,11
11,36,0,9
10,28,1,9
9,21,1,7
1,1,0,0
-1,0,0,0
3,2,4,327
14,51,0,1
12,31,0,3
10,21,0,12
7,15,3,169
9,18,0,18
8,13,0,20
6,10,2,200
7,11,0,52
5,6,7,432
6,7,1,76
8,16,0,12
12,46,0,4
12,45,1,9
13,55,1,7
13,56,0,2
4,1,11,714
5,1,6,112
8,15,0,13
5,4,1,77
6,6,2,102
7,10,0,41
-2,0,0,0
4,0,6,254
8,12,0,12
9,16,0,8
7,9,0,45
8,9,0,3
7,7,0,13
6,4,0,30
2,3,0,0
5,3,7,152
4,2,3,257
6,1,0,15
8,11,0,9
7,2,0,6
8,4,0,0
9,5,1,0
7,4,1,7
9,22,0,6
13,66,0,1
14,66,0,4
5,0,2,18
6,3,0,29
10,20,0,10
9,15,0,18
8,10,2,7
6,2,0,11
2,2,0,0
11,28,0,6
7,6,1,31
10,15,0,0
8,6,0,6
9,6,0,4
8,3,0,1
7,3,0,6
5,2,3,50
4,4,2,54
5,7,0,13
9,10,0,0
7,8,0,4
6,5,1,0
0,1,0,0
3,5,0,0
5,5,0,19
4,5,1,25
3,4,0,0
7,5,0,0
9,3,0,3
8,2,0,4
7,1,0,1
-1,-1,0,0
0,-1,0,0
-1,-2,0,0
1,-1,0,0
1,3,0,0
6,8,0,0
-1,1,0,0
