2,3,True,False
0,0,15206,2095565
1,0,1331,90027
10,45,0,13
7,21,0,31
5,10,8,230
2,1,86,6025
4,6,19,611
3,3,21,1351
5,6,2,28
2,0,94,3921
3,1,13,479
6,10,1,11
6,15,2,73
7,15,0,2
8,21,0,1
4,3,2,86
7,11,0,2
6,7,0,1
7,9,0,1
4,2,1,20
4,1,0,35
-1,0,0,0
5,4,2,11
3,0,7,158
1,1,0,0
4,0,0,10
0,1,0,0
5,1,0,3
5,3,0,2
3,2,0,18
6,6,0,1
2,3,0,0
5,2,0,1
0,-1,0,0
3,4,0,0
4,4,0,2
2,2,0,0
6,4,0,0
1,-1,0,0
-2,-1,0,0
1,2,0,0
5,5,0,1
4,5,0,0
-1,-1,0,0
-2,0,0,0
6,5,0,0
-4,-2,0,0
8,3,0,0
6,2,0,0
5,0,0,0
-5,-2,0,0
-3,-1,0,0
6,1,0,0
-3,0,0,0
-1,1,0,0
