2,3,True,False
0,0,12180,1939177
1,0,1913,149778
11,55,0,12
10,45,0,13
6,15,14,889
7,21,7,353
2,1,122,11420
7,15,6,46
5,10,22,1265
6,10,1,91
5,6,4,77
2,0,225,11593
4,6,23,1359
3,1,29,1521
3,3,44,3017
4,3,8,223
9,36,1,124
8,28,5,183
3,0,23,945
8,21,1,13
8,16,0,8
7,11,0,12
4,1,3,174
9,28,0,4
10,36,0,1
5,4,2,51
6,7,1,18
8,15,0,3
7,10,1,0
8,13,0,5
5,1,1,23
10,20,0,1
9,16,0,2
10,21,1,0
6,6,0,18
5,3,1,39
4,2,0,102
7,9,0,7
-1,0,0,0
4,0,3,86
1,1,0,0
3,2,3,71
-2,0,0,0
8,9,0,1
7,6,1,0
5,0,0,4
5,2,0,12
6,4,1,4
6,3,0,4
0,1,0,0
7,3,0,0
8,3,0,0
6,0,0,1
7,7,0,0
7,4,0,0
4,4,0,5
2,2,0,0
1,-1,0,0
5,5,0,13
0,-1,0,0
-2,-1,0,0
-1,-1,0,0
4,5,1,6
2,4,0,0
5,7,1,1
1,2,0,0
6,2,0,4
6,1,0,4
-3,-2,0,0
3,5,0,0
-1,-2,0,0
7,5,0,0
0,-2,0,0
2,-1,0,0
-1,1,0,0
-3,-1,0,0
