2,3,4,True,False
0,0,0,12531,1958199
1,0,0,1810,143257
11,55,165,0,12
10,45,120,0,13
9,36,84,0,56
8,28,56,3,132
2,1,0,142,10432
6,15,20,13,491
7,21,35,8,349
2,0,0,218,10525
5,10,10,17,1134
6,10,10,5,83
7,15,20,0,28
8,21,35,0,9
9,28,56,1,4
3,3,1,43,3224
3,0,0,16,661
3,1,0,25,1325
14,42,70,0,1
13,36,55,0,1
12,30,40,0,1
11,25,30,0,0
10,20,20,0,1
8,13,11,0,3
5,6,4,4,108
4,6,4,19,1452
7,9,5,2,4
5,2,0,0,13
6,7,4,1,26
6,4,1,0,8
5,3,1,1,35
7,11,10,0,18
4,1,0,3,162
9,22,35,0,4
10,29,56,0,1
4,3,1,8,300
-1,0,0,0,0
6,6,2,0,15
7,10,10,0,6
8,15,20,0,3
6,6,4,1,12
5,4,1,2,40
4,2,0,2,61
1,1,0,0,0
-2,0,0,0,0
0,1,0,0,0
4,0,0,1,62
5,0,0,0,5
8,16,20,0,5
9,21,35,0,1
7,7,4,0,0
8,9,5,0,1
9,18,21,0,1
3,2,0,2,75
5,1,0,0,12
6,3,1,0,0
7,3,1,0,2
6,1,0,0,1
2,3,1,0,0
4,4,1,1,33
6,2,0,0,4
4,3,0,1,5
2,2,1,0,0
2,2,0,0,0
5,5,1,0,10
-2,-1,0,0,0
4,5,2,0,1
0,-1,0,0,0
5,3,0,0,2
1,2,1,0,0
4,9,10,0,0
-1,-2,0,0,0
0,-2,0,0,0
3,5,4,0,0
3,3,0,0,0
-4,-2,0,0,0
-3,-2,0,0,0
1,-1,0,0,0
-1,1,0,0,0
6,3,0,0,0
