2,3,True,False
0,0,11812,1907741
1,0,1901,162487
11,55,0,12
10,45,1,25
9,36,0,52
8,28,6,176
2,1,153,13107
6,15,13,388
2,0,234,13481
7,21,5,230
5,10,10,976
4,6,30,1772
5,6,5,132
7,15,1,28
9,28,0,4
8,21,1,12
6,10,3,85
3,3,50,4547
4,3,9,474
3,0,30,910
3,1,40,1947
4,1,6,225
8,16,0,3
7,11,0,8
6,7,0,17
7,10,0,6
5,3,1,48
5,4,3,83
8,15,0,2
1,1,0,0
6,6,1,22
4,2,1,110
0,1,0,0
-1,0,0,0
4,0,1,88
3,2,1,81
8,12,0,2
7,9,0,7
2,3,0,0
8,9,0,0
7,6,0,2
6,4,0,11
5,0,0,8
7,3,0,2
6,2,0,9
5,1,1,31
5,2,1,11
6,3,0,7
8,11,0,1
8,10,0,2
8,3,0,1
7,1,0,0
6,1,0,1
4,10,0,0
4,4,1,26
7,4,0,1
-2,0,0,0
2,2,0,0
6,9,1,2
10,10,0,0
12,11,0,0
9,10,0,0
3,7,0,0
2,7,0,0
0,4,0,0
2,5,0,0
-2,-1,0,0
5,8,0,1
6,8,0,0
5,7,0,1
3,4,0,0
0,-1,0,0
-3,-1,0,0
1,2,0,0
4,5,1,0
5,5,0,0
9,7,0,0
6,5,0,0
-4,-2,0,0
3,5,0,0
1,-1,0,0
-1,-1,0,0
-4,-3,0,0
-2,-2,0,0
7,5,0,0
-3,0,0,0
-1,-2,0,0
