2,3,True,False
0,0,7315,1501146
1,0,6760,1034135
2,1,2008,369438
3,3,1315,237259
6,15,226,55051
4,6,592,134695
7,21,165,26391
5,10,381,93165
8,28,139,26499
10,45,64,20548
85,3570,1,106
86,3655,1,105
87,3741,2,103
89,3916,3,203
92,4186,1,199
93,4278,2,196
95,4465,1,96
96,4560,2,94
9,36,101,18225
98,4753,1,93
99,4851,4,227
101,5050,4,427
103,5253,3,151
104,5356,1,175
105,5460,4,146
108,5778,2,142
109,5886,2,566
110,5995,3,137
112,6216,2,238
16,120,8,3330
114,6441,2,610
115,6555,2,364
116,6670,2,306
117,6786,2,175
12,66,42,8408
13,78,31,5213
11,55,59,14685
14,91,18,5396
118,6903,2,566
119,7021,3,168
106,5565,1,123
121,7260,1,70
122,7381,2,554
123,7503,3,225
107,5671,1,426
125,7750,2,151
126,7875,2,274
127,8001,2,456
128,8128,3,181
129,8256,1,125
111,6105,2,112
130,8385,2,584
131,8515,3,475
132,8646,3,665
113,6328,1,659
17,136,7,1743
133,8778,3,840
18,153,7,2877
134,8911,3,265
135,9045,3,367
136,9180,4,240
15,105,13,6587
138,9453,4,1366
19,171,3,1332
120,7140,2,142
139,9591,1,908
124,7626,1,43
140,9730,2,2530
141,9870,2,367
142,10011,2,1444
143,10153,2,772
144,10296,2,646
145,10440,2,2163
146,10585,2,868
147,10731,2,2482
148,10878,3,2673
150,11175,1,11933
151,11325,1,204
137,9316,2,411
152,11476,2,878
154,11781,1,37
155,11935,1,369
156,12090,1,575
157,12246,1,69
158,12403,1,339
159,12561,1,626
160,12720,1,319
161,12880,1,402
162,13041,1,149
29,406,1,502
163,13203,1,1594
30,435,1,85
20,190,5,1703
164,13366,1,503
165,13530,1,242
31,465,1,52
21,210,2,1286
166,13695,1,1689
167,13861,1,174
168,14028,1,287
22,231,2,1526
169,14196,1,2391
170,14365,1,285
171,14535,1,3884
149,11026,1,1215
27,351,3,488
63,1953,1,303
172,14706,1,3259
48,1128,1,35
24,276,1,21
26,325,1,1
25,300,1,463
173,14878,0,9956
23,253,0,1138
