2,3,True,False
0,0,11903,1913781
1,0,1928,157395
11,55,0,24
2,1,151,12520
10,45,0,13
9,36,1,69
8,28,3,215
7,21,6,380
9,28,0,7
2,0,264,13339
6,15,14,653
5,10,21,1178
6,10,1,91
7,15,3,48
8,21,0,22
4,6,31,1751
5,6,1,166
3,3,35,3490
4,3,8,399
3,0,27,1163
10,20,0,2
9,16,0,1
8,13,0,2
7,9,1,18
6,7,1,23
3,1,33,1773
4,2,1,76
5,4,2,66
7,11,1,15
8,16,1,7
4,1,9,203
6,6,0,27
-1,0,0,0
9,22,0,5
3,2,3,109
5,2,1,29
1,1,0,0
4,0,2,68
5,0,0,13
6,4,1,18
5,3,2,36
7,7,0,9
7,6,0,6
8,15,1,5
7,10,0,6
9,21,0,3
6,3,0,6
5,1,0,32
8,11,0,4
8,10,0,4
8,9,0,4
6,1,0,0
7,1,0,0
6,0,0,1
4,4,0,3
2,2,0,0
5,5,0,15
5,7,0,5
0,1,0,0
-1,1,0,0
-3,0,0,0
-2,0,0,0
4,5,1,4
3,5,0,0
2,3,0,0
1,2,0,0
-2,-1,0,0
0,-1,0,0
-2,1,0,0
-4,-2,0,0
6,2,0,1
-3,-1,0,0
-1,-2,0,0
1,-1,0,0
0,-2,0,0
-1,-1,0,0
