2,3,4,True,False
0,0,0,13106,1986675
1,0,0,1795,135760
2,0,0,157,8881
11,55,165,0,12
9,36,84,0,70
2,1,0,132,9671
7,21,35,2,163
6,15,20,12,457
5,10,10,11,541
4,6,4,15,1004
3,3,1,38,2763
5,6,4,0,72
4,3,1,5,284
6,10,10,0,46
7,15,20,4,21
8,28,56,1,34
9,18,21,0,1
8,13,11,0,1
3,1,0,30,1233
7,11,10,0,9
6,7,4,0,19
7,9,5,0,4
8,12,8,0,0
6,4,1,1,1
5,4,1,2,39
6,6,2,0,4
4,2,0,1,58
5,2,0,0,3
4,1,0,2,113
3,0,0,20,582
-1,0,0,0,0
5,3,1,1,21
1,1,0,0,0
6,6,4,0,5
8,21,35,1,2
9,28,56,0,1
-2,0,0,0,0
4,0,0,0,36
5,0,0,1,6
7,4,1,0,5
5,1,0,0,27
6,3,1,0,16
3,2,0,3,68
0,1,0,0,0
7,7,4,0,1
7,3,1,0,1
8,3,1,0,2
8,15,20,0,0
2,3,1,0,0
4,4,1,0,6
2,2,0,0,0
4,3,0,0,1
2,-1,0,0,0
7,10,10,0,4
1,2,1,0,0
-2,-1,0,0,0
4,5,2,0,7
2,2,1,0,0
0,-1,0,0,0
1,-1,0,0,0
-1,-1,0,0,0
6,2,0,0,2
7,3,0,0,1
5,5,1,0,1
1,1,1,0,0
3,5,4,0,0
-1,1,0,0,0
