2,3,True,False
0,0,14129,2047365
1,0,1602,110451
2,0,127,6034
11,55,0,12
9,36,0,14
2,1,110,7926
7,21,0,17
6,15,2,164
5,10,12,533
4,6,12,956
6,10,2,24
3,1,20,777
4,3,3,167
3,3,42,2168
5,6,5,64
6,7,1,7
5,4,0,14
4,2,2,44
6,6,0,8
7,9,0,2
8,13,0,2
9,18,0,0
7,15,0,5
-1,0,0,0
3,0,7,344
4,1,1,45
5,3,0,2
3,2,1,38
4,0,2,17
5,1,0,0
5,0,0,3
-2,0,0,0
1,1,0,0
7,11,0,0
8,12,0,0
9,12,0,0
8,9,0,1
7,6,0,0
5,2,0,6
2,3,0,0
0,1,0,0
4,4,0,2
-2,-1,0,0
-1,-1,0,0
2,2,0,0
0,-1,0,0
1,2,0,0
-3,-1,0,0
6,4,0,0
-1,1,0,0
6,2,0,0
