2,3,4,True,False
0,0,0,11360,1886448
1,0,0,1966,164565
11,55,165,0,24
2,1,0,167,12754
9,36,84,0,26
10,36,84,0,2
8,28,56,3,208
9,28,56,0,7
7,21,35,6,345
8,21,35,2,21
5,10,10,19,1366
6,10,10,2,117
4,6,4,27,2082
5,6,4,7,225
6,15,20,14,822
7,15,20,1,58
2,0,0,240,14990
3,3,1,58,4825
4,3,1,11,526
3,0,0,41,1366
3,1,0,43,1911
9,18,21,0,11
10,24,36,0,1
11,27,39,0,1
9,16,14,0,2
8,13,11,0,17
7,9,5,1,19
8,12,8,0,3
7,11,10,0,19
6,6,2,0,17
6,7,4,1,44
8,16,20,1,10
5,4,1,1,55
4,2,0,0,105
6,6,4,0,19
5,3,1,0,51
4,1,0,8,224
3,2,0,4,137
-1,0,0,0,0
7,10,10,0,4
8,11,10,1,4
6,4,1,0,11
7,7,4,0,1
9,16,20,0,2
10,18,21,0,3
10,22,35,0,3
9,21,35,0,2
11,29,56,0,4
10,29,56,0,1
11,31,57,0,2
2,2,0,0,0
1,1,0,0,0
9,22,35,0,2
-2,0,0,0,0
5,1,0,0,19
4,3,0,1,13
5,2,0,1,8
4,0,0,2,166
5,0,0,0,6
4,4,1,0,26
9,13,11,0,1
6,1,0,0,1
0,1,0,0,0
8,15,20,0,6
6,3,1,0,6
7,6,4,0,2
8,6,4,0,2
10,21,24,0,2
4,10,10,0,0
3,6,4,0,0
2,3,1,0,0
3,5,4,0,0
2,2,1,0,0
0,-1,0,0,0
3,4,1,0,0
6,7,2,0,3
5,5,1,1,0
6,6,1,1,0
-2,-1,0,0,0
5,4,0,0,5
5,3,0,0,5
4,5,2,0,2
5,7,4,0,3
5,5,2,1,1
1,2,1,0,0
7,6,1,0,0
6,5,1,0,0
3,2,1,0,0
-1,-1,0,0,0
1,-1,0,0,0
6,2,0,0,1
2,1,1,0,0
5,6,2,0,3
6,4,0,0,0
-1,1,0,0,0
