2,3,4,True,False
0,0,0,13600,2017309
1,0,0,1708,122816
11,55,165,0,24
10,45,120,0,39
9,36,84,1,41
2,1,0,119,8483
8,28,56,3,85
5,10,10,9,416
6,15,20,4,255
7,15,20,0,12
7,21,35,4,146
8,21,35,0,8
9,28,56,0,2
2,0,0,143,7537
4,6,4,19,978
3,3,1,35,2215
5,4,1,0,30
7,11,10,0,3
3,1,0,22,850
6,7,4,1,4
4,3,1,5,187
7,9,5,0,4
4,2,0,1,52
5,6,4,3,84
5,3,1,3,17
6,10,10,1,23
4,1,0,4,103
6,6,4,0,4
6,6,2,1,4
3,0,0,13,421
1,1,0,0,0
-1,0,0,0,0
5,2,0,0,1
3,2,0,0,28
-2,0,0,0,0
0,1,0,0,0
4,0,0,2,23
4,3,0,0,6
8,12,8,0,1
9,22,35,0,2
5,0,0,0,1
8,13,11,0,0
5,1,0,0,9
6,4,1,0,2
6,3,1,0,1
7,3,1,0,1
3,6,4,0,0
2,3,1,0,0
6,11,10,0,0
0,-1,0,0,0
4,4,1,0,4
3,4,1,0,0
4,5,2,0,2
2,2,0,0,0
6,2,0,0,0
-2,-1,0,0,0
5,5,1,0,0
1,-1,0,0,0
-1,-2,0,0,0
-4,-2,0,0,0
6,3,0,0,0
-1,-1,0,0,0
2,2,1,0,0
5,3,0,0,0
0,-2,0,0,0
3,3,0,0,0
