2,3,4,True,False
0,0,0,16744,2170241
1,0,0,874,53538
10,45,120,0,13
6,15,20,0,26
5,10,10,0,22
2,1,0,52,2735
3,3,1,10,537
3,1,0,9,138
2,0,0,36,1335
3,0,0,1,36
4,6,4,4,113
6,7,4,0,1
5,4,1,0,1
4,3,1,0,25
-1,0,0,0,0
4,2,0,0,1
5,6,4,0,4
4,1,0,0,4
-2,0,0,0,0
5,1,0,0,0
4,0,0,0,2
6,4,1,0,0
3,6,4,0,0
1,1,0,0,0
3,2,0,0,6
5,2,0,0,0
1,-1,0,0,0
0,1,0,0,0
0,-1,0,0,0
-2,-1,0,0,0
1,2,1,0,0
4,4,1,0,1
-1,-1,0,0,0
2,3,1,0,0
7,5,1,0,0
-4,-2,0,0,0
6,3,0,0,0
4,3,0,0,0
-3,0,0,0,0
-1,1,0,0,0
1,2,0,0,0
2,2,0,0,0
6,2,0,0,0
