2,3,4,True,False
0,0,0,12812,1973206
1,0,0,1801,139041
11,55,165,0,12
10,45,120,0,13
2,1,0,145,10393
9,36,84,0,14
8,28,56,1,71
7,21,35,5,226
6,15,20,6,250
5,10,10,10,550
2,0,0,179,9485
7,15,20,0,8
6,10,10,2,42
4,6,4,21,1730
5,6,4,3,148
3,3,1,48,3483
4,3,1,4,353
3,0,0,16,690
7,9,5,1,10
8,12,8,0,3
6,7,4,0,23
6,6,2,0,18
5,4,1,1,54
3,1,0,20,1232
4,2,0,1,60
7,11,10,0,8
1,1,0,0,0
-1,0,0,0,0
4,1,0,6,126
7,10,10,0,1
6,6,4,0,7
5,3,1,0,25
8,16,20,0,3
9,18,21,0,1
8,21,35,1,9
9,28,56,0,3
0,1,0,0,0
3,2,0,3,62
-2,0,0,0,0
8,9,5,0,5
7,6,2,0,2
4,0,0,2,33
2,2,0,0,0
8,13,11,0,2
9,16,14,0,3
10,20,20,0,1
5,1,0,1,11
5,2,0,1,8
2,3,1,0,0
4,4,1,2,8
4,3,0,0,5
0,2,1,0,0
5,5,1,0,2
6,2,0,0,2
6,9,5,0,1
5,8,5,0,0
5,7,4,1,0
7,8,4,0,0
6,8,4,0,0
4,7,4,0,0
5,3,0,0,0
-1,-1,0,0,0
-2,-1,0,0,0
1,2,1,0,0
-3,-1,0,0,0
5,5,2,0,2
0,-1,0,0,0
1,-1,0,0,0
2,2,1,0,0
5,0,0,0,5
-1,1,0,0,0
