2,3,4,True,False
0,0,0,10235,1815200
1,0,0,2068,183715
11,55,165,0,24
10,45,120,0,63
9,36,84,6,293
8,28,56,7,553
7,21,35,23,929
2,1,0,193,14584
2,0,0,274,18286
6,15,20,14,1104
7,15,20,3,59
6,10,10,1,96
5,10,10,18,1380
3,1,0,51,2843
3,0,0,38,2189
3,3,1,53,5355
14,42,70,0,1
13,36,55,0,2
12,30,40,0,1
11,25,30,1,5
10,20,20,0,7
12,31,45,0,4
13,38,66,0,2
14,43,76,0,2
15,51,104,0,1
8,21,35,1,54
9,28,56,2,30
14,46,94,0,2
10,36,84,0,19
13,42,88,0,1
4,6,4,21,2322
12,34,60,0,0
11,31,57,0,1
9,18,21,0,3
8,16,20,0,2
6,4,1,0,11
5,6,4,4,281
5,2,0,0,33
9,22,35,1,10
4,1,0,9,384
9,21,35,0,1
8,15,20,1,4
10,24,36,0,5
7,11,10,0,3
8,13,11,0,11
4,2,0,2,163
6,6,4,0,19
7,10,10,1,4
3,2,0,3,278
-1,0,0,0,0
-2,0,0,0,0
4,3,1,10,792
5,4,1,0,101
6,7,4,0,55
11,45,120,0,2
5,1,0,0,54
6,2,0,0,0
4,0,0,6,143
2,2,0,0,0
4,3,0,0,9
7,6,2,0,2
7,7,4,1,19
4,4,1,2,61
9,16,14,0,8
8,12,8,0,5
6,3,1,2,21
8,11,10,0,3
9,13,11,0,3
8,9,5,0,4
5,3,1,1,76
9,12,8,0,2
6,1,0,0,2
7,3,1,0,6
8,4,1,0,0
7,4,1,0,0
8,7,4,1,0
7,9,5,0,28
10,29,56,0,2
1,1,0,0,0
10,28,56,0,1
0,1,0,0,0
6,6,2,0,18
7,6,4,0,5
10,21,24,0,2
9,16,20,0,2
8,6,4,0,2
3,6,4,0,0
2,3,1,0,0
5,7,4,0,4
3,2,1,0,0
5,5,1,1,11
3,4,1,0,0
5,6,2,1,7
4,5,2,3,22
-2,-1,0,0,0
7,11,6,1,2
4,8,5,0,0
0,2,1,0,0
-3,-1,0,0,0
6,8,3,0,1
2,4,2,0,0
-1,1,1,0,0
-4,-2,0,0,0
-3,-2,0,0,0
2,2,1,0,0
0,-1,0,0,0
1,-1,0,0,0
7,5,1,0,0
-1,-1,0,0,0
5,0,0,0,20
1,2,1,0,0
-2,1,1,0,0
6,5,2,0,0
5,5,2,0,6
5,3,0,0,10
4,5,1,0,0
6,5,1,0,0
3,4,2,0,0
6,4,0,0,0
3,3,0,0,0
-5,-2,0,0,0
