2,3,4,True,False
0,0,0,13837,2028136
1,0,0,1626,119189
11,55,165,0,12
9,36,84,0,14
7,21,35,2,54
8,21,35,0,1
5,10,10,8,312
6,10,10,0,13
2,1,0,121,8779
6,15,20,2,115
3,3,1,38,2515
4,3,1,6,181
4,6,4,19,846
5,6,4,1,61
2,0,0,144,6770
7,15,20,0,2
3,1,0,14,819
8,28,56,0,6
6,7,4,0,11
5,4,1,0,44
4,2,0,3,52
4,1,0,1,68
3,0,0,12,401
3,2,0,2,42
5,3,1,0,9
6,6,4,0,3
7,10,10,0,0
6,6,2,0,3
7,9,5,0,0
-1,0,0,0,0
-2,0,0,0,0
4,0,0,1,22
1,1,0,0,0
0,1,0,0,0
5,2,0,0,4
7,7,4,0,0
6,4,1,0,4
5,1,0,0,6
4,4,1,2,10
2,2,1,0,0
0,-1,0,0,0
1,-1,0,0,0
4,3,0,0,3
5,5,1,0,0
-1,-1,0,0,0
-2,-1,0,0,0
4,5,2,1,2
2,3,1,0,0
7,5,1,0,0
1,3,1,0,0
3,4,1,0,0
1,2,1,0,0
5,5,2,0,0
6,11,10,0,0
3,2,1,0,0
5,7,4,0,0
2,2,0,0,0
-4,-2,0,0,0
-1,-2,0,0,0
1,1,1,0,0
