2,3,4,True,False
0,0,0,7704,1604646
1,0,0,2001,228257
10,45,120,7,573
9,36,84,6,654
8,28,56,10,881
6,15,20,16,1504
7,15,20,2,209
2,1,0,201,19496
7,21,35,16,1099
8,21,35,2,174
9,28,56,6,95
10,36,84,2,77
2,0,0,388,30873
11,55,165,4,274
3,3,1,47,7047
11,45,120,2,44
17,64,140,0,6
16,56,112,0,2
16,57,119,0,1
6,4,1,0,35
5,2,0,1,78
15,49,91,0,4
14,43,76,0,2
15,51,104,0,2
16,60,140,0,1
3,0,0,65,3600
17,70,185,0,3
5,3,1,5,155
12,55,165,0,22
16,65,175,0,4
4,3,1,13,1101
15,55,130,0,3
13,66,220,0,9
12,66,220,0,81
17,76,230,0,7
3,1,0,86,6083
5,10,10,15,2149
16,72,224,0,0
4,6,4,31,3034
15,61,169,0,1
14,58,166,0,4
15,69,221,0,2
13,48,121,0,3
12,39,85,1,7
13,42,88,1,10
14,51,124,1,2
13,38,66,0,3
1,1,0,0,0
14,46,94,0,3
4,0,0,5,482
12,34,60,1,10
4,3,0,1,14
3,2,0,9,259
2,2,0,0,0
0,1,0,0,0
11,31,57,0,6
4,1,0,21,1181
11,27,39,0,18
9,16,14,0,17
6,10,10,7,309
8,13,11,0,41
5,6,4,7,403
7,9,5,2,82
9,18,21,0,32
10,24,36,0,12
12,46,120,0,7
-1,0,0,0,0
11,37,84,0,1
9,22,35,0,15
6,2,0,0,25
10,29,56,0,11
4,2,0,8,396
10,22,35,0,0
9,16,20,1,1
5,1,0,4,243
7,11,10,0,46
5,3,0,1,36
5,4,1,2,240
4,4,1,1,66
12,31,45,0,6
13,31,45,0,4
12,25,30,0,2
11,20,20,0,1
10,16,14,0,4
11,21,24,0,4
12,27,39,0,3
14,42,88,0,1
13,39,85,0,0
12,31,57,0,5
11,29,56,0,1
10,28,56,0,6
11,36,84,1,11
5,0,0,0,91
12,45,120,0,7
10,21,24,0,10
11,28,56,1,7
10,21,35,0,3
9,21,35,1,3
8,12,8,0,14
7,3,1,0,5
6,3,1,2,11
7,6,4,1,18
6,6,4,2,88
6,7,4,0,72
-2,0,0,0,0
6,6,2,0,55
9,15,20,1,19
6,0,0,0,10
8,15,20,0,12
8,16,20,0,16
6,1,0,0,38
7,10,10,1,51
8,6,4,0,11
11,21,35,0,2
10,15,20,0,12
9,10,10,0,5
8,10,10,0,29
10,10,10,0,3
11,15,20,0,1
12,15,20,0,9
13,21,35,0,3
11,10,10,0,4
10,20,20,0,5
9,6,4,0,2
11,25,30,0,2
8,11,10,0,28
7,7,4,0,12
9,13,11,0,3
8,9,5,0,4
8,6,2,0,7
7,6,2,0,9
9,9,5,0,1
4,10,10,0,0
5,7,4,1,11
2,3,1,0,0
7,5,1,0,12
6,5,1,0,5
7,4,1,0,6
8,4,1,0,0
8,7,2,1,1
5,5,1,1,12
3,4,1,0,0
1,3,1,0,0
8,7,4,0,0
5,8,5,0,8
2,2,1,0,0
4,5,2,3,48
5,6,2,0,3
6,4,0,0,1
6,7,2,0,0
0,-1,0,0,0
7,7,2,0,0
5,5,2,0,11
7,2,0,0,10
8,3,0,0,2
-3,-2,0,0,0
-2,-1,0,0,0
8,2,0,0,0
7,1,0,0,5
3,5,4,0,0
3,3,0,0,0
4,5,1,0,0
5,4,0,0,2
3,4,2,0,0
2,4,2,0,0
-1,-2,0,0,0
6,3,0,0,0
3,2,1,0,0
1,-1,0,0,0
