2,3,4,True,False
0,0,0,15296,2102635
1,0,0,1298,87074
11,55,165,0,12
7,21,35,0,16
2,1,0,97,5838
4,6,4,17,552
3,3,1,27,1518
3,1,0,7,372
4,3,1,4,74
5,10,10,1,108
2,0,0,85,3493
6,15,20,3,24
6,7,4,0,5
5,4,1,1,10
6,4,1,0,1
5,2,0,0,1
4,1,0,1,31
5,6,4,1,30
7,11,10,0,1
3,0,0,8,136
7,9,5,0,0
8,13,11,0,1
1,1,0,0,0
6,10,10,0,3
4,2,0,1,23
-1,0,0,0,0
0,1,0,0,0
6,6,4,0,2
7,10,10,0,1
4,0,0,0,7
3,2,0,2,30
5,1,0,0,2
5,3,1,0,2
7,15,20,0,2
5,15,20,0,0
2,3,1,0,0
0,-1,0,0,0
5,5,1,0,1
4,4,1,1,2
5,6,2,0,1
-2,-1,0,0,0
6,2,0,0,0
6,3,0,0,0
4,5,2,0,3
3,5,2,0,0
4,6,2,0,0
3,4,1,0,0
7,5,1,0,0
-1,-1,0,0,0
4,3,0,0,4
1,2,1,0,0
-2,0,0,0,0
3,4,2,0,0
4,4,2,0,0
3,2,1,0,0
2,2,1,0,0
2,2,0,0,0
1,-1,0,0,0
2,-1,0,0,0
-3,-1,0,0,0
