2,3,4,True,False
0,0,0,16280,2150998
1,0,0,1024,63711
10,45,120,0,13
9,36,84,1,13
2,1,0,68,3586
8,28,56,0,15
6,15,20,1,26
4,6,4,6,260
5,10,10,2,60
3,1,0,5,189
4,3,1,2,41
3,3,1,17,805
2,0,0,42,1860
5,6,4,1,13
4,2,0,1,7
6,7,4,0,1
-1,0,0,0,0
3,0,0,2,49
1,1,0,0,0
4,1,0,0,9
6,6,4,0,1
5,3,1,0,2
5,4,1,0,2
-2,0,0,0,0
6,6,2,0,0
4,0,0,0,1
5,1,0,0,1
0,1,0,0,0
2,3,1,0,0
4,3,0,0,1
3,2,0,0,1
1,-1,0,0,0
6,10,10,1,0
-2,-1,0,0,0
1,2,1,0,0
4,4,1,1,0
4,5,2,0,1
3,5,2,0,0
0,-1,0,0,0
-1,-1,0,0,0
5,2,0,0,0
-3,-1,0,0,0
6,4,1,0,0
6,3,0,0,0
5,5,1,0,0
4,9,10,0,0
-4,-2,0,0,0
-1,-2,0,0,0
1,2,0,0,0
2,2,0,0,0
5,0,0,0,0
-3,0,0,0,0
