2,3,True,False
0,0,10244,1814423
1,0,2089,186582
2,0,286,18057
11,55,0,60
10,45,0,26
9,36,2,210
7,21,10,355
8,28,9,284
9,28,1,16
10,36,0,12
2,1,201,15568
8,21,2,26
7,15,3,26
6,15,5,371
5,10,11,1226
6,10,3,90
4,6,28,2831
5,6,6,307
14,42,0,3
3,3,52,5363
13,36,0,1
12,30,0,0
3,1,50,2730
10,21,0,1
4,3,8,725
9,16,0,8
11,27,0,1
7,6,0,8
9,18,0,4
10,24,0,2
9,22,0,4
10,29,0,2
11,31,0,3
6,4,0,28
5,4,1,108
5,2,4,29
4,2,1,140
6,7,1,78
7,11,0,10
7,7,0,8
5,3,3,107
6,6,2,86
4,1,8,382
7,9,0,31
8,13,0,7
8,12,1,0
7,10,0,16
8,15,1,3
8,9,0,1
3,0,35,1894
3,2,8,139
1,1,0,0
0,1,0,0
-2,0,0,0
5,1,0,48
4,0,6,185
6,1,0,14
5,0,1,46
7,3,0,2
6,3,0,11
-1,0,0,0
8,10,0,4
8,16,0,2
10,16,0,3
8,11,0,5
3,6,0,0
4,10,0,0
2,3,0,0
6,2,0,11
7,4,0,1
7,2,0,0
4,4,1,9
2,5,0,0
5,5,1,30
4,5,0,9
0,-1,0,0
2,2,0,0
-1,-1,0,0
1,2,0,0
7,5,0,0
8,5,0,0
-4,-2,0,0
-2,-1,0,0
-1,-2,0,0
3,4,0,0
-2,-2,0,0
