2,3,True,False
0,0,78262,15745486
1,0,38668,3666156
2,1,7017,524266
4,6,787,65341
3,3,2085,147904
5,10,400,39472
7,21,167,23181
6,19,0,0
7,19,6,124
5,13,0,0
3,2,405,16960
1,1,0,0
-1,0,0,0
2,0,13154,890389
6,15,223,28941
3,1,4832,265425
7,16,21,659
6,11,56,1526
5,7,108,3171
5,6,516,26247
8,28,146,18686
4,10,0,0
4,3,1390,68441
2,3,0,0
5,4,425,17610
6,7,185,6652
6,20,0,0
4,2,812,34076
2,2,0,0
3,5,0,0
4,5,58,1893
4,9,0,0
6,12,13,581
7,11,98,3324
7,13,33,736
6,4,317,11965
5,8,58,1322
5,2,596,23102
4,4,271,8863
6,10,258,13628
6,9,50,1445
3,9,0,0
3,6,0,0
4,8,0,0
0,-3,0,0
8,24,9,79
0,3,0,0
1,3,0,0
-3,-3,0,0
9,26,6,102
2,4,0,0
6,6,329,12217
3,4,0,0
4,7,0,0
14,91,83,7000
8,23,6,117
9,36,115,16584
12,66,118,9576
7,9,76,2511
6,13,11,380
10,55,0,0
11,66,0,0
10,21,26,1007
5,5,90,2907
5,9,11,430
5,14,0,0
0,-1,0,0
8,12,37,991
9,22,33,1164
11,21,13,446
1,2,0,0
9,16,46,1638
8,11,79,2214
4,1,2422,106171
8,13,33,1244
8,22,14,400
84,3486,2,106
8,18,11,348
6,17,0,0
7,10,138,5100
1,7,0,0
-2,4,0,0
1,-1,0,0
9,29,6,193
10,22,21,804
8,15,92,3187
0,4,0,0
1,4,0,0
3,0,4199,227436
7,22,0,0
71,2485,1,113
7,15,152,9147
74,2497,0,2
73,2486,0,2
73,2488,0,1
75,2491,0,1
72,2485,0,1
61,1714,0,0
62,1714,0,0
61,1712,0,3
5,3,714,28762
59,1711,2,120
62,1723,0,2
63,1725,0,0
61,1711,0,1
60,1711,0,4
63,1717,0,1
57,1540,0,6
60,1554,0,0
58,1541,0,1
-3,-1,0,0
58,1540,0,0
8,14,16,304
9,25,4,83
56,1540,0,125
57,1542,0,3
60,1546,0,1
7,12,35,786
52,1134,0,1
11,27,8,236
5,11,0,0
0,1,0,0
9,17,25,338
10,25,7,103
-2,0,0,0
48,1128,5,177
49,1128,1,24
49,1130,0,3
50,1129,0,5
9,23,4,165
47,991,0,3
49,996,0,1
46,990,0,22
12,27,5,150
8,21,90,6635
11,24,7,305
10,18,16,444
8,16,56,1871
11,20,9,193
8,17,21,295
12,21,6,201
47,990,1,4
45,990,4,238
6,8,46,1463
46,992,0,3
47,992,0,0
