2,3,True,False
0,0,9570,1757603
1,0,2052,200302
11,55,0,47
10,45,6,295
2,1,169,16980
2,0,324,22760
9,36,2,342
8,28,8,412
9,28,2,33
10,36,3,25
7,21,13,890
3,3,55,5600
6,15,20,1407
8,21,0,67
7,15,3,112
6,10,4,198
3,1,41,3191
5,10,24,1543
4,6,31,3059
5,6,7,403
6,4,0,14
5,3,1,83
4,3,13,869
8,16,0,10
7,11,0,27
8,13,1,14
9,16,0,8
8,15,0,35
10,21,0,10
7,10,2,29
5,2,1,44
4,1,11,514
11,27,0,2
12,30,0,3
11,25,0,0
12,31,1,0
9,21,0,22
10,28,0,12
3,0,45,2336
3,2,7,136
1,1,0,0
11,45,1,10
12,55,0,1
4,2,1,305
0,1,0,0
2,2,0,0
8,11,1,4
4,0,2,190
7,6,0,16
4,4,2,53
-1,0,0,0
10,18,0,1
5,1,0,92
6,1,0,8
9,18,0,3
8,10,0,3
7,9,0,22
8,9,0,3
6,7,1,70
6,6,1,46
8,5,0,4
5,4,1,149
7,7,0,12
7,3,0,10
6,2,1,7
7,4,0,4
7,2,0,1
8,4,0,0
9,8,1,0
10,22,0,1
11,29,0,1
6,0,0,1
5,0,5,33
9,22,0,4
6,3,1,22
11,36,2,4
8,12,0,4
2,3,0,0
9,15,0,3
9,13,0,6
8,3,0,1
4,10,0,0
3,6,0,0
8,7,0,3
5,7,0,1
5,5,2,3
6,9,0,1
5,8,0,2
5,9,0,0
6,5,0,0
3,4,0,0
4,5,0,20
1,-1,0,0
0,-1,0,0
-3,-2,0,0
-1,1,0,0
1,2,0,0
1,3,0,0
-1,-2,0,0
-2,0,0,0
-3,0,0,0
