2,3,True,False
0,0,13805,2028244
1,0,1608,118101
2,0,144,6792
11,55,0,12
2,1,108,8175
9,36,0,28
7,21,3,62
8,28,0,30
6,15,1,191
4,6,21,1120
5,10,14,451
5,6,3,68
6,10,1,30
3,3,37,2615
4,3,8,197
3,1,19,855
3,0,10,398
6,6,0,15
7,9,0,5
5,4,2,26
4,2,1,51
6,7,0,7
7,11,0,6
-1,0,0,0
4,1,3,56
5,3,0,10
3,2,1,44
1,1,0,0
7,15,1,7
8,21,0,1
0,1,0,0
6,4,0,4
5,2,0,1
4,0,1,31
6,3,0,0
5,1,0,2
6,1,0,1
-2,0,0,0
5,7,0,1
-1,-1,0,0
0,-1,0,0
4,4,0,6
5,5,0,1
-2,-1,0,0
1,2,0,0
2,3,0,0
1,-1,0,0
2,2,0,0
4,5,1,1
8,7,0,0
9,7,0,0
7,6,0,0
-1,-2,0,0
-4,-2,0,0
5,0,0,1
-3,0,0,0
-1,1,0,0
