2,3,4,True,False
0,0,0,14380,2056370
1,0,0,1500,106845
11,55,165,0,12
9,36,84,0,14
4,6,4,21,931
5,10,10,6,312
2,1,0,112,7414
3,3,1,35,2075
5,6,4,3,62
3,1,0,16,657
2,0,0,115,5571
4,3,1,7,154
3,0,0,8,222
6,15,20,3,151
6,7,4,0,7
7,11,10,0,2
6,10,10,1,15
5,4,1,0,22
4,2,0,1,50
6,6,2,0,3
7,15,20,2,15
-1,0,0,0,0
5,3,1,0,5
6,6,4,0,1
8,13,11,0,1
1,1,0,0,0
0,1,0,0,0
7,21,35,0,15
8,21,35,0,2
4,1,0,0,40
7,9,5,0,1
5,2,0,0,5
4,0,0,1,8
3,2,0,1,40
7,6,2,0,0
6,4,1,0,1
5,1,0,0,4
4,3,0,0,1
2,3,1,0,0
2,2,0,0,0
4,4,1,1,2
2,2,1,0,0
-2,-1,0,0,0
3,4,1,0,0
6,5,1,0,0
0,-1,0,0,0
-1,-1,0,0,0
6,2,0,0,2
7,3,0,0,1
-2,0,0,0,0
6,1,0,0,0
1,2,1,0,0
3,2,1,0,0
2,1,1,0,0
1,1,1,0,0
3,5,4,0,0
-3,-2,0,0,0
-4,-2,0,0,0
1,-1,0,0,0
6,3,0,0,0
-1,-2,0,0,0
