2,3,4,True,False
0,0,0,16365,2156418
1,0,0,1019,61243
11,55,165,0,12
8,28,56,0,15
4,6,4,1,96
3,3,1,7,589
2,1,0,52,3249
3,1,0,5,178
2,0,0,51,1649
4,3,1,2,18
6,15,20,0,9
6,6,2,0,1
5,10,10,2,40
8,13,11,0,1
7,9,5,0,0
6,7,4,0,1
5,6,4,1,0
4,2,0,1,6
-1,0,0,0,0
4,1,0,0,4
3,0,0,3,54
5,3,1,0,2
6,10,10,1,1
1,1,0,0,0
4,0,0,0,2
5,4,1,0,1
0,1,0,0,0
5,1,0,0,0
3,2,0,0,6
-2,0,0,0,0
5,2,0,0,0
4,4,1,1,0
-2,-1,0,0,0
0,-1,0,0,0
3,2,1,0,0
1,-1,0,0,0
2,2,1,0,0
-1,-1,0,0,0
2,3,1,0,0
1,2,1,0,0
-1,-2,0,0,0
1,2,0,0,0
2,2,0,0,0
-1,1,0,0,0
