2,3,4,True,False
0,0,0,15762,2125248
1,0,0,1203,76424
10,45,120,0,13
6,15,20,3,90
2,1,0,74,4643
4,6,4,11,378
3,3,1,22,963
3,1,0,8,298
2,0,0,66,2850
5,6,4,2,20
4,3,1,2,61
6,7,4,0,1
5,10,10,3,86
7,11,10,0,2
6,10,10,0,5
4,2,0,0,10
6,4,1,0,1
5,2,0,0,1
1,1,0,0,0
3,0,0,3,83
4,1,0,2,10
5,3,1,0,2
5,4,1,1,5
-1,0,0,0,0
0,1,0,0,0
6,6,2,0,1
5,1,0,0,1
3,2,0,1,5
2,2,0,0,0
4,0,0,0,0
-2,0,0,0,0
2,2,1,0,0
1,-1,0,0,0
4,3,0,1,1
4,4,1,0,3
-2,-1,0,0,0
1,2,1,0,0
-1,-1,0,0,0
5,5,1,0,0
3,2,1,0,0
0,-1,0,0,0
3,6,4,0,0
3,5,4,0,0
-4,-2,0,0,0
6,3,0,0,0
-1,1,0,0,0
