2,3,4,True,False
0,0,0,15358,2107448
1,0,0,1310,84618
11,55,165,0,12
8,28,56,0,15
4,6,4,14,519
2,1,0,87,5086
3,3,1,25,1276
4,3,1,0,68
5,6,4,0,36
5,10,10,1,122
6,10,10,0,6
3,1,0,8,410
2,0,0,71,3542
6,15,20,0,41
6,7,4,0,4
7,9,5,0,0
6,6,2,0,2
5,4,1,0,2
4,2,0,0,26
4,1,0,2,21
1,1,0,0,0
3,0,0,4,127
6,6,4,0,1
7,10,10,0,2
-1,0,0,0,0
7,15,20,1,0
5,3,1,0,5
-2,0,0,0,0
4,0,0,1,4
7,11,10,0,1
3,2,0,2,15
5,2,0,0,2
2,3,1,0,0
0,1,0,0,0
-2,-1,0,0,0
2,2,0,0,0
4,4,1,0,3
2,2,1,0,0
3,2,1,0,0
1,-1,0,0,0
4,5,2,0,1
3,5,2,0,0
2,4,2,0,0
1,2,1,0,0
5,1,0,0,1
-1,-1,0,0,0
-4,-2,0,0,0
4,5,4,0,0
-3,-1,0,0,0
0,-1,0,0,0
5,0,0,0,0
4,3,0,0,0
5,4,0,0,0
1,1,1,0,0
0,0,1,0,0
