2,3,4,True,False
0,0,0,15457,2114862
1,0,0,1255,80411
11,55,165,0,12
8,28,56,0,30
2,1,0,78,4744
6,15,20,0,60
5,10,10,4,99
4,6,4,10,295
3,3,1,23,1133
4,3,1,1,62
2,0,0,88,3193
3,1,0,11,369
5,6,4,0,12
5,4,1,0,7
4,2,0,1,11
-1,0,0,0,0
4,1,0,1,18
5,3,1,0,4
3,0,0,4,104
1,1,0,0,0
6,10,10,0,4
7,15,20,0,1
0,1,0,0,0
4,0,0,0,4
-2,0,0,0,0
5,1,0,0,1
6,4,1,0,2
7,7,4,0,1
6,7,4,0,0
3,2,0,0,8
4,4,1,0,3
4,3,0,0,2
6,3,0,0,0
5,2,0,0,0
1,-1,0,0,0
7,5,1,0,0
5,5,1,0,3
2,3,1,0,0
5,3,0,0,0
1,2,1,0,0
2,2,1,0,0
2,2,0,0,0
0,-1,0,0,0
-2,-1,0,0,0
