2,3,True,False
0,0,14532,2066502
1,0,1520,102732
11,55,0,12
7,21,0,33
4,6,18,811
2,1,84,6007
5,10,4,244
3,3,35,1949
3,1,15,547
4,3,8,112
6,10,1,8
5,6,2,35
2,0,117,5195
6,15,4,93
5,4,0,19
4,2,1,26
6,4,0,1
5,3,0,11
4,1,1,24
3,0,12,228
6,7,0,3
-1,0,0,0
3,2,0,26
5,2,0,3
7,7,0,1
6,6,0,10
7,15,0,3
-2,0,0,0
4,0,0,14
1,1,0,0
5,1,0,2
6,1,0,0
2,3,0,0
0,-1,0,0
0,1,0,0
2,2,0,0
-2,-1,0,0
1,2,0,0
-1,-1,0,0
4,5,0,1
1,-1,0,0
6,2,0,0
-1,1,0,0
-3,0,0,0
-1,-2,0,0
6,3,0,0
-3,-1,0,0
-5,-2,0,0
-4,-2,0,0
4,4,0,0
5,5,0,0
