2,3,True,False
0,0,145109,20435388
1,0,29864,1959218
2,1,4093,222949
4,6,669,37717
3,3,1129,66958
1,1,0,0
-1,0,0,0
6,15,167,8373
2,0,5089,218958
3,1,1397,49204
4,2,165,4339
3,2,133,3392
0,-1,0,0
4,4,51,1429
2,3,0,0
-2,-1,0,0
5,4,78,2059
7,7,8,291
1,2,0,0
4,3,356,11724
5,8,12,300
3,5,0,0
5,10,272,17406
-2,-3,0,0
7,21,117,5372
-1,-1,0,0
3,0,818,27006
2,2,0,0
8,16,4,251
4,5,27,493
6,6,53,1219
8,28,50,2673
5,6,152,5498
9,16,2,125
6,13,8,105
9,36,16,909
2,7,0,0
-2,0,0,0
-3,-3,0,0
6,7,32,1010
14,91,0,20
0,1,0,0
9,22,5,114
-1,1,0,0
6,8,5,141
-2,1,0,0
5,7,27,458
6,21,0,0
3,4,0,0
2,5,0,0
1,5,0,0
-3,-1,0,0
4,10,0,0
5,3,89,2206
-5,-4,0,0
2,4,0,0
4,1,330,9441
83,3403,1,108
5,2,68,1517
-1,-3,0,0
7,11,14,458
9,12,1,50
13,38,1,10
10,29,4,58
9,28,7,276
6,4,37,628
10,28,1,50
7,28,0,0
8,21,25,624
9,21,6,100
0,3,0,0
-3,0,0,0
-4,0,0,0
4,9,0,0
3,8,0,0
7,10,19,360
6,10,76,2277
5,1,73,1609
7,15,44,1036
0,2,0,0
-1,2,0,0
5,15,0,0
8,13,6,164
8,11,2,109
7,4,10,183
11,55,12,773
8,4,3,44
13,56,1,9
7,3,3,114
12,55,3,46
8,3,2,19
6,3,30,453
13,55,1,7
10,55,0,0
4,14,0,0
11,29,0,15
9,29,1,48
8,12,6,139
3,6,0,0
7,13,6,106
3,9,0,0
5,9,5,146
10,22,1,36
8,22,2,50
9,24,0,34
8,18,2,34
7,16,1,73
0,-3,0,0
8,15,10,193
14,58,0,5
11,19,1,6
1,3,0,0
7,9,7,317
9,18,1,81
3,7,0,0
13,24,0,2
10,21,2,59
4,12,0,0
0,-2,0,0
-3,-8,0,0
-1,-5,0,0
6,9,9,193
9,7,1,27
8,7,6,94
10,7,1,5
7,6,12,249
4,0,132,3508
5,5,17,305
6,11,11,218
10,20,2,37
-4,-2,0,0
7,5,4,103
8,6,6,47
8,10,2,77
9,10,2,29
10,11,1,2
11,27,0,50
10,24,0,27
6,20,0,0
10,36,4,123
13,42,1,15
16,45,0,0
-3,-2,0,0
12,39,0,12
10,38,0,6
7,35,0,0
11,37,3,26
8,36,0,0
11,36,2,18
10,17,1,19
7,8,6,73
7,18,7,59
14,56,1,5
15,58,1,2
15,59,0,0
12,56,0,0
16,60,0,2
17,61,0,1
14,67,0,4
10,53,0,0
13,58,0,3
15,60,0,2
10,12,2,13
4,8,0,0
11,47,0,7
10,45,33,1179
11,45,8,91
13,48,0,10
12,46,0,21
11,46,1,7
9,45,0,0
8,44,0,0
11,31,0,19
15,56,0,3
15,61,0,1
9,11,0,35
6,5,12,170
11,34,1,12
14,48,0,1
12,45,1,23
14,49,0,2
15,49,0,0
12,48,0,9
15,79,0,3
13,78,2,166
14,78,0,22
1,-1,0,0
4,7,0,0
10,16,1,44
2,-4,0,0
0,-5,0,0
9,17,1,23
-2,-6,0,0
6,1,19,285
5,0,25,456
9,20,2,10
8,8,4,50
8,20,2,41
5,14,0,0
9,14,0,20
13,35,0,2
11,28,1,11
7,27,0,0
8,27,1,8
98,4753,0,70
15,43,0,3
14,43,0,1
9,15,3,27
5,11,0,0
7,2,11,80
8,2,1,15
6,2,22,383
11,13,0,4
10,13,0,13
11,15,0,3
10,15,1,14
6,17,0,0
-4,-6,0,0
2,9,0,0
10,18,2,24
-1,6,0,0
1,7,0,0
-2,4,0,0
4,19,0,0
12,30,0,10
8,25,1,22
3,12,0,0
3,15,0,0
7,20,3,24
8,9,2,87
10,27,2,13
11,24,0,12
-5,-10,0,0
1,-3,0,0
2,6,0,0
12,66,1,194
12,17,0,0
4,11,0,0
-3,-6,0,0
0,5,0,0
0,4,0,0
7,12,3,82
12,31,0,14
-2,-2,0,0
5,20,0,0
9,8,1,17
1,8,0,0
0,8,0,0
-5,-2,0,0
-6,-3,0,0
-1,7,0,0
5,22,0,0
0,12,0,0
4,18,0,0
16,49,0,0
11,39,2,10
17,45,0,0
13,40,0,3
15,44,0,2
14,42,0,8
18,47,0,0
18,48,0,0
7,1,3,47
14,41,0,1
10,9,0,5
8,26,2,20
12,33,0,1
11,33,3,6
7,26,0,0
1,11,0,0
5,18,0,0
11,21,1,15
5,12,0,0
11,17,0,9
7,19,4,46
8,19,2,16
13,29,0,2
12,29,0,5
14,30,0,0
8,14,0,21
2,-1,0,0
-2,-7,0,0
-2,2,0,0
-8,-22,0,0
-3,-12,0,0
-9,-19,0,0
-5,-13,0,0
-7,-18,0,0
-6,-15,0,0
-10,-21,0,0
8,24,1,44
12,27,0,11
8,5,5,35
3,-1,0,0
-4,-1,0,0
4,15,0,0
11,25,0,15
12,25,0,3
11,20,0,14
-1,-2,0,0
6,12,4,87
10,19,0,13
9,19,2,9
7,31,0,0
-4,-14,0,0
-5,-15,0,0
-8,-19,0,0
-6,-13,0,0
1,-2,0,0
9,6,1,7
9,9,2,23
10,14,0,10
11,12,0,2
9,13,2,38
6,22,0,0
0,-4,0,0
10,31,2,9
14,37,0,0
11,14,0,8
14,26,0,0
11,23,1,6
9,2,1,2
6,14,5,58
11,22,1,7
13,23,0,0
14,24,0,0
16,25,0,0
15,25,0,0
-1,-4,0,0
3,10,0,0
9,5,1,9
15,105,0,32
-1,-6,0,0
16,27,0,0
15,27,0,0
16,28,0,0
13,25,0,1
15,30,0,0
-6,-8,0,0
-8,-9,0,0
-5,-6,0,0
13,51,0,3
14,51,0,6
7,45,0,0
-2,-9,0,0
10,6,0,2
-4,-3,0,0
1,4,0,0
0,6,0,0
13,31,1,4
2,8,0,0
-2,-5,0,0
-8,-12,0,0
-5,-9,0,0
-9,-15,0,0
-5,-11,0,0
-13,-21,0,0
-8,-11,0,0
8,17,1,31
11,26,0,7
1,9,0,0
9,23,1,26
0,9,0,0
15,35,0,0
2,10,0,0
12,26,0,1
10,23,1,17
11,16,0,3
12,16,0,0
5,17,0,0
11,18,0,10
11,7,0,2
13,22,0,1
2,-2,0,0
12,21,0,4
-5,-1,0,0
6,18,0,0
13,30,0,1
12,19,0,3
10,32,1,9
12,37,0,10
7,23,0,0
14,40,0,0
9,26,2,19
16,43,0,1
10,34,0,4
12,20,0,5
13,37,0,4
15,40,0,1
13,39,0,1
15,42,0,2
13,32,0,1
9,27,0,9
11,30,0,12
14,36,0,1
13,36,0,5
13,21,1,1
15,37,0,0
13,34,0,1
17,44,0,2
20,50,0,0
16,40,0,0
1,6,0,0
10,25,0,11
-4,-7,0,0
-3,1,0,0
10,10,0,9
-8,-7,0,0
5,13,0,0
3,14,0,0
2,11,0,0
11,8,0,0
10,8,0,5
-7,-9,0,0
11,10,0,3
11,11,0,5
12,23,0,4
4,16,0,0
7,22,0,0
6,0,4,68
9,4,1,14
5,21,0,0
12,22,0,3
12,13,0,3
7,17,0,62
-6,-6,0,0
17,66,0,1
-1,3,0,0
6,16,0,0
-3,2,0,0
13,11,0,0
6,19,0,0
-5,-8,0,0
-6,-9,0,0
-3,-5,0,0
-7,-11,0,0
-4,-5,0,0
-5,-5,0,0
14,66,1,4
13,66,1,28
15,69,0,2
-4,-8,0,0
-6,-5,0,0
-7,-3,0,0
-5,-3,0,0
-3,-4,0,0
16,69,0,1
-8,-8,0,0
-5,-7,0,0
10,63,0,0
-1,4,0,0
14,21,0,0
14,23,0,1
15,23,0,0
18,26,0,0
14,20,0,0
12,15,0,1
16,72,0,1
13,15,0,0
8,1,1,9
13,46,0,3
16,55,0,1
15,55,0,4
15,51,0,2
8,23,2,19
-4,-4,0,0
-7,-5,0,0
12,34,0,3
7,24,0,0
6,24,0,0
9,3,0,3
12,24,0,3
6,27,0,0
6,28,0,0
5,28,0,0
12,14,0,0
-6,-2,0,0
18,42,0,1
13,27,0,2
16,41,0,0
18,46,0,0
20,47,0,0
21,47,0,0
22,47,0,0
20,46,0,0
15,36,0,0
9,30,0,18
10,30,0,9
10,26,1,5
3,18,0,0
7,14,0,49
9,25,1,13
-4,-11,0,0
-2,-10,0,0
-6,-16,0,0
-8,-17,0,0
-9,-17,0,0
-10,-17,0,0
-8,-16,0,0
4,20,0,0
7,0,1,5
13,45,0,5
14,46,0,1
12,52,0,1
10,35,2,10
5,19,0,0
12,36,0,10
3,16,0,0
2,16,0,0
8,29,0,0
-3,-9,0,0
-9,-11,0,0
0,13,0,0
-2,12,0,0
1,15,0,0
6,25,0,0
4,24,0,0
15,32,0,0
13,33,0,3
11,32,0,3
3,20,0,0
-1,14,0,0
2,17,0,0
14,27,0,0
1,14,0,0
14,22,0,1
17,36,0,0
-7,-7,0,0
-3,-7,0,0
-6,-4,0,0
-8,-5,0,0
10,4,0,5
-6,-7,0,0
-9,-10,0,0
-11,-11,0,0
-6,-1,0,0
13,12,0,0
13,18,0,1
16,21,0,0
14,38,1,1
-5,0,0,0
-4,1,0,0
-5,1,0,0
-6,0,0,0
-7,0,0,0
-7,-1,0,0
-9,-2,0,0
-8,-1,0,0
10,3,0,0
11,3,0,0
11,4,1,0
13,5,0,0
12,4,0,0
-2,3,0,0
3,-2,0,0
4,-2,0,0
2,-5,0,0
0,-6,0,0
-2,-4,0,0
-4,2,0,0
-1,5,0,0
3,11,0,0
16,36,0,0
-7,-8,0,0
8,35,0,0
10,37,0,13
1,-5,0,0
-1,-8,0,0
-2,-8,0,0
-4,-10,0,0
-7,-16,0,0
16,23,0,1
1,10,0,0
4,13,0,0
12,7,0,1
1,-6,0,0
3,-3,0,0
4,-1,0,0
5,-2,0,0
-1,-7,0,0
2,13,0,0
2,12,0,0
5,16,0,0
1,-7,0,0
13,19,0,0
11,5,0,1
12,8,0,0
13,8,0,0
17,136,1,7
-7,-2,0,0
0,7,0,0
1,12,0,0
3,13,0,0
8,30,0,0
13,13,0,1
15,31,1,1
-3,4,0,0
14,16,0,0
13,16,0,0
15,17,0,0
3,19,0,0
2,15,0,0
-4,9,0,0
-3,10,0,0
-1,11,0,0
-2,11,0,0
-3,11,0,0
0,14,0,0
-2,6,0,0
-2,5,0,0
-3,3,0,0
1,-4,0,0
10,2,0,0
-4,-15,0,0
11,9,0,0
10,5,0,6
12,10,0,0
