2,3,True,False
17,108,0,6
21,120,0,4
23,117,0,0
18,117,0,0
19,106,0,5
19,111,0,2
21,230,0,0
30,243,0,0
2,-1,0,0
23,233,0,2
28,242,0,1
24,231,0,3
27,240,0,0
26,232,0,1
27,239,0,0
8,5,33,710
25,243,0,2
24,238,0,0
26,236,0,0
25,240,0,0
24,233,0,0
18,122,1,3
20,125,1,0
22,127,1,1
8,4,39,1067
10,7,4,195
24,128,0,1
20,126,0,4
19,129,0,3
18,124,0,0
21,122,0,2
15,121,0,0
17,122,0,1
14,119,0,0
18,125,0,0
19,126,0,0
26,241,0,0
9,6,20,401
25,233,0,0
26,279,0,4
25,276,3,12
27,282,0,0
25,278,0,0
24,276,4,141
26,277,1,5
25,277,0,2
27,279,0,1
23,276,0,0
27,277,0,0
25,300,6,300
26,300,3,26
-4,0,0,0
28,303,0,4
12,36,6,166
24,300,0,0
27,301,2,4
27,303,0,4
28,302,0,1
9,30,1,40
29,302,0,1
7,19,2,66
28,301,0,4
27,300,0,3
26,301,0,4
28,306,0,4
30,302,1,0
30,310,1,0
8,10,41,1092
10,15,16,223
31,302,0,0
9,24,4,134
12,27,0,74
11,26,5,39
9,22,16,827
27,306,0,0
28,309,0,0
29,304,0,1
29,309,0,0
7,16,8,385
13,26,2,36
36,505,0,3
35,497,1,1
34,496,0,5
36,500,0,1
12,44,0,12
11,43,2,10
12,34,4,103
22,106,0,7
20,112,1,15
15,36,1,14
12,25,6,124
10,38,7,35
7,24,0,0
35,498,0,0
11,20,6,77
14,31,1,35
-1,-4,0,0
35,502,0,2
11,31,8,276
37,503,0,0
34,499,0,1
35,499,0,2
8,23,1,71
31,360,0,0
9,17,13,182
33,358,0,0
8,20,11,106
13,31,2,80
33,372,0,1
14,33,2,12
11,27,6,186
9,26,5,59
9,21,41,1312
32,357,0,0
11,34,1,38
30,356,0,1
12,35,2,24
26,351,0,0
31,357,0,0
19,190,0,0
22,193,0,1
24,196,0,1
10,34,4,22
15,42,3,26
26,211,0,1
13,30,4,64
14,36,2,55
10,24,11,262
4,15,0,0
11,40,2,13
13,41,0,18
12,24,1,67
10,21,22,582
25,205,0,0
21,231,0,0
9,33,0,22
11,33,0,31
6,16,0,0
27,246,0,1
20,121,1,3
21,121,0,4
1,5,0,0
20,120,0,4
7,23,0,0
-2,-4,0,0
-3,-4,0,0
8,24,4,49
15,120,0,0
19,120,0,20
14,55,7,84
15,56,2,48
7,1,59,1459
16,62,0,3
13,36,5,124
11,36,24,533
10,30,4,57
10,27,3,64
13,39,2,45
14,37,3,22
15,37,2,14
13,45,6,116
15,52,1,12
12,41,0,16
13,37,6,79
17,51,0,10
11,28,11,252
18,92,0,30
19,97,0,11
2,-2,0,0
1,-4,0,0
3,-1,0,0
1,-2,0,0
0,-4,0,0
2,-3,0,0
16,93,0,3
21,101,0,1
98,4753,0,70
71,2485,2,90
72,2485,0,3
73,2485,0,0
9,20,8,112
20,101,0,5
12,33,1,19
10,26,3,49
75,2491,0,1
17,91,4,40
19,94,0,15
83,2575,0,1
84,2576,0,0
9,5,7,301
11,8,6,68
81,2540,0,0
73,2486,0,0
57,1596,3,99
10,12,5,201
18,65,1,5
67,1651,0,1
60,1599,0,1
59,1597,0,2
15,60,1,33
16,58,0,15
59,1598,0,0
69,1651,0,1
68,1651,0,0
70,1651,0,0
13,33,2,17
9,28,78,3914
65,1624,0,0
58,1596,0,4
67,1624,0,0
11,29,9,319
44,946,2,107
10,29,22,665
10,28,27,944
14,34,1,27
13,32,1,36
54,974,0,1
52,974,0,2
13,78,73,5338
14,32,2,39
45,946,0,8
43,946,0,0
11,24,5,143
46,947,0,2
51,974,0,0
53,974,0,0
12,76,0,0
46,946,0,1
47,949,0,1
52,982,0,0
53,982,0,0
54,982,0,0
9,43,0,0
34,561,2,111
35,561,0,13
39,571,0,1
7,3,93,2244
14,38,4,45
36,562,0,2
36,561,0,1
37,564,0,1
43,597,0,2
44,597,0,1
9,44,0,0
10,44,0,0
11,44,1,5
45,616,0,0
46,616,0,0
37,562,0,0
13,57,0,12
12,30,9,127
3,15,0,0
11,54,0,2
34,308,0,2
35,308,0,1
2,9,0,0
11,32,0,30
14,90,0,0
37,344,0,0
38,344,0,0
27,255,0,0
10,31,6,63
24,192,0,1
19,98,0,3
13,91,0,0
9,32,1,30
-5,-10,0,0
18,96,0,0
19,95,0,2
34,281,0,2
35,281,0,1
12,31,4,239
19,110,0,0
20,110,0,3
23,190,0,1
35,295,0,0
36,295,0,0
21,110,0,0
14,78,24,1038
18,85,1,1
15,79,3,182
7,25,0,0
16,79,2,74
15,78,6,176
6,17,0,0
17,82,0,6
14,79,1,31
12,78,0,0
19,107,0,8
16,81,1,41
19,108,0,5
28,183,0,4
20,115,0,7
29,183,0,1
