2,3,True,False
0,0,13341,2002663
1,0,1736,128338
11,55,0,24
2,1,135,9352
7,21,2,102
6,15,12,447
8,28,2,51
5,10,13,542
4,6,27,1352
5,6,4,95
6,10,1,36
2,0,150,7967
7,15,0,21
8,21,0,5
9,36,1,36
10,36,0,1
3,0,26,579
3,3,37,3069
4,3,3,264
4,0,3,30
3,1,19,1096
9,28,0,1
9,22,0,1
8,16,0,5
7,11,0,4
9,16,0,1
4,1,0,98
8,12,0,0
5,3,1,26
6,7,1,6
7,9,0,5
8,13,0,2
5,4,1,29
6,6,0,16
-1,0,0,0
4,2,1,48
3,2,2,45
5,1,0,4
-2,0,0,0
0,1,0,0
1,1,0,0
4,4,0,3
6,4,0,1
5,2,0,4
6,3,1,2
6,2,0,2
5,0,0,1
7,3,0,1
6,1,0,2
5,15,0,0
4,10,0,0
2,3,0,0
2,-1,0,0
1,3,0,0
5,5,0,3
6,9,0,1
5,8,1,2
2,5,0,0
3,5,0,0
4,5,0,0
-1,-1,0,0
-2,-1,0,0
5,7,0,0
0,-1,0,0
1,-1,0,0
0,2,0,0
2,2,0,0
1,2,0,0
-4,-2,0,0
-1,-2,0,0
