2,3,4,-1
0,0,0,7
0,0,0,2
5,1,0,12
0,0,0,1
1,0,0,4
1,0,0,9
1,0,0,5
3,3,1,5
1,0,0,5
0,0,0,3
1,0,0,66
0,0,0,8
1,0,0,2
1,0,0,5
2,0,0,26
37,309,1826,17
0,0,0,8
0,0,0,33
4,1,0,14
0,0,0,4
5,0,0,54
0,0,0,8
0,0,0,7
0,0,0,10
0,0,0,2
0,0,0,4
1,0,0,13
2,1,0,72
0,0,0,5
0,0,0,2
0,0,0,44
1,0,0,9
0,0,0,8
0,0,0,15
1,0,0,7
2,0,0,2
2,0,0,5
0,0,0,2
2,0,0,11
1,0,0,15
22,231,1540,12
1,0,0,10
2,0,0,7
0,0,0,8
0,0,0,2
12,5,1,57
1,0,0,4
0,0,0,12
6,1,0,20
1,0,0,7
0,0,0,4
0,0,0,8
0,0,0,6
8,1,0,36
0,0,0,2
1,0,0,3
1,0,0,3
3,0,0,13
1,0,0,5
0,0,0,4
0,0,0,5
1,0,0,35
0,0,0,7
8,21,35,8
0,0,0,2
5,0,0,42
5,6,4,11
17,7,1,81
0,0,0,14
4,1,0,18
1,0,0,15
10,3,1,78
6,3,0,16
0,0,0,4
4,1,0,39
1,0,0,14
1,0,0,9
2,0,0,23
1,0,0,14
5,1,0,38
0,0,0,6
0,0,0,10
0,0,0,4
0,0,0,1
0,0,0,2
0,0,0,1
2,1,0,4
2,1,0,8
2,1,0,4
0,0,0,1
4,3,1,7
0,0,0,2
2,0,0,14
1,0,0,19
0,0,0,2
2,0,0,11
0,0,0,8
0,0,0,2
2,0,0,36
0,0,0,3
1,0,0,8
0,0,0,6
0,0,0,8
0,0,0,1
4,0,0,16
0,0,0,2
7,3,1,26
1,0,0,8
3,1,0,31
5,1,0,42
7,21,35,44
0,0,0,9
0,0,0,1
1,0,0,4
5,1,0,18
6,4,1,16
24,231,1540,11
1,0,0,14
22,231,1540,20
1,0,0,9
1,0,0,9
1,0,0,22
0,0,0,8
1,0,0,2
4,0,0,9
1,0,0,59
10,4,0,52
1,0,0,39
2,0,0,19
2,0,0,29
2,0,0,12
0,0,0,6
0,0,0,1
4,0,0,15
4,3,1,15
0,0,0,9
0,0,0,8
1,0,0,11
0,0,0,5
6,3,1,23
1,0,0,4
3,0,0,8
1,0,0,16
1,0,0,4
2,0,0,9
0,0,0,4
0,0,0,17
7,6,4,16
1,0,0,2
8,2,0,40
2,1,0,6
1,0,0,20
0,0,0,5
5,2,0,38
0,0,0,4
3,1,0,7
1,0,0,20
0,0,0,4
1,0,0,10
5,3,1,12
1,0,0,6
2,0,0,13
1,0,0,7
0,0,0,4
0,0,0,2
23,231,1540,19
5,3,1,27
1,0,0,21
0,0,0,4
2,0,0,29
3,3,1,9
0,0,0,15
27,232,1540,34
0,0,0,3
0,0,0,4
1,0,0,22
0,0,0,2
7,15,20,39
